"Titre de tracé : p41_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Pression)","Temp., °C (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Temperature)","Hôte connecté (LGR S/N: 20072572)","Arrêté (LGR S/N: 20072572)","Fin de fichier (LGR S/N: 20072572)"
117,05/19/17 17:00:00,1.34737,13.638,,,
118,05/19/17 17:15:00,1.33845,13.651,,,
119,05/19/17 17:30:00,1.32940,13.623,,,
120,05/19/17 17:45:00,1.32822,13.637,,,
121,05/19/17 18:00:00,1.32856,13.651,,,
122,05/19/17 18:15:00,1.32235,13.657,,,
123,05/19/17 18:30:00,1.32399,13.684,,,
124,05/19/17 18:45:00,1.32448,13.712,,,
125,05/19/17 19:00:00,1.32536,13.733,,,
126,05/19/17 19:15:00,1.32326,13.730,,,
127,05/19/17 19:30:00,1.32227,13.721,,,
128,05/19/17 19:45:00,1.31899,13.709,,,
129,05/19/17 20:00:00,1.31044,13.697,,,
130,05/19/17 20:15:00,1.30613,13.682,,,
131,05/19/17 20:30:00,1.30152,13.678,,,
132,05/19/17 20:45:00,1.29641,13.669,,,
133,05/19/17 21:00:00,1.29271,13.635,,,
134,05/19/17 21:15:00,1.28737,13.584,,,
135,05/19/17 21:30:00,1.27756,13.529,,,
136,05/19/17 21:45:00,1.27096,13.469,,,
137,05/19/17 22:00:00,1.26230,13.427,,,
138,05/19/17 22:15:00,1.25444,13.336,,,
139,05/19/17 22:30:00,1.24952,13.327,,,
140,05/19/17 22:45:00,1.24231,13.242,,,
141,05/19/17 23:00:00,1.23205,13.168,,,
142,05/19/17 23:15:00,1.22084,13.111,,,
143,05/19/17 23:30:00,1.21221,13.064,,,
144,05/19/17 23:45:00,1.20649,13.025,,,
145,05/20/17 00:00:00,1.19936,12.981,,,
146,05/20/17 00:15:00,1.19387,12.941,,,
147,05/20/17 00:30:00,1.18902,12.892,,,
148,05/20/17 00:45:00,1.18341,12.831,,,
149,05/20/17 01:00:00,1.17906,12.805,,,
150,05/20/17 01:15:00,1.17144,12.770,,,
151,05/20/17 01:30:00,1.16651,12.730,,,
152,05/20/17 01:45:00,1.16190,12.689,,,
153,05/20/17 02:00:00,1.15576,12.726,,,
154,05/20/17 02:15:00,1.14927,12.758,,,
155,05/20/17 02:30:00,1.14618,12.733,,,
156,05/20/17 02:45:00,1.14454,12.692,,,
157,05/20/17 03:00:00,1.14042,12.634,,,
158,05/20/17 03:15:00,1.13565,12.576,,,
159,05/20/17 03:30:00,1.13153,12.503,,,
160,05/20/17 03:45:00,1.12623,12.428,,,
161,05/20/17 04:00:00,1.12333,12.352,,,
162,05/20/17 04:15:00,1.11685,12.316,,,
163,05/20/17 04:30:00,1.11154,12.270,,,
164,05/20/17 04:45:00,1.10739,12.225,,,
165,05/20/17 05:00:00,1.10212,12.181,,,
166,05/20/17 05:15:00,1.09686,12.121,,,
167,05/20/17 05:30:00,1.09163,12.066,,,
168,05/20/17 05:45:00,1.08824,12.031,,,
169,05/20/17 06:00:00,1.08568,11.989,,,
170,05/20/17 06:15:00,1.08434,11.950,,,
171,05/20/17 06:30:00,1.07969,11.887,,,
172,05/20/17 06:45:00,1.07794,11.828,,,
173,05/20/17 07:00:00,1.07618,11.778,,,
174,05/20/17 07:15:00,1.07820,11.743,,,
175,05/20/17 07:30:00,1.07916,11.734,,,
176,05/20/17 07:45:00,1.08087,11.730,,,
177,05/20/17 08:00:00,1.07988,11.710,,,
178,05/20/17 08:15:00,1.07866,11.696,,,
179,05/20/17 08:30:00,1.07671,11.666,,,
180,05/20/17 08:45:00,1.07729,11.648,,,
181,05/20/17 09:00:00,1.08125,11.681,,,
182,05/20/17 09:15:00,1.08896,11.701,,,
183,05/20/17 09:30:00,1.09396,11.746,,,
184,05/20/17 09:45:00,1.09220,11.742,,,
185,05/20/17 10:00:00,1.08946,11.716,,,
186,05/20/17 10:15:00,1.09201,11.715,,,
187,05/20/17 10:30:00,1.10395,11.860,,,
188,05/20/17 10:45:00,1.11131,11.909,,,
189,05/20/17 11:00:00,1.11879,11.936,,,
190,05/20/17 11:15:00,1.12276,11.975,,,
191,05/20/17 11:30:00,1.12100,12.004,,,
192,05/20/17 11:45:00,1.13188,12.060,,,
193,05/20/17 12:00:00,1.13577,12.095,,,
194,05/20/17 12:15:00,1.13619,12.054,,,
195,05/20/17 12:30:00,1.13409,12.059,,,
196,05/20/17 12:45:00,1.13588,12.087,,,
197,05/20/17 13:00:00,1.14477,12.168,,,
198,05/20/17 13:15:00,1.15278,12.243,,,
199,05/20/17 13:30:00,1.16564,12.340,,,
200,05/20/17 13:45:00,1.17464,12.393,,,
201,05/20/17 14:00:00,1.18563,12.487,,,
202,05/20/17 14:15:00,1.19566,12.576,,,
203,05/20/17 14:30:00,1.19772,12.598,,,
204,05/20/17 14:45:00,1.20539,12.654,,,
205,05/20/17 15:00:00,1.21145,12.716,,,
206,05/20/17 15:15:00,1.22007,12.803,,,
207,05/20/17 15:30:00,1.23194,12.877,,,
