ID,ak,n,ss,l,r,temp1_rmse,temp1_bias,temp1_rbias,temp1_correlation,temp2_rmse,temp2_bias,temp2_rbias,temp2_correlation,temp3_rmse,temp3_bias,temp3_rbias,temp3_correlation
29,0.10D-13,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.25D+01,0.35D+04,0.558543,-0.408091,-0.027865,0.962818,0.239874,-0.174959,-0.012365,0.989203
30,0.10D-13,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.25D+01,0.50D+04,0.548647,-0.405940,-0.027722,0.964823,0.220872,-0.171101,-0.012096,0.992104
31,0.10D-13,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.40D+01,0.35D+04,0.569281,-0.410339,-0.028014,0.960572,0.260952,-0.178792,-0.012633,0.985626
32,0.10D-13,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.40D+01,0.50D+04,0.561767,-0.408978,-0.027923,0.962212,0.246906,-0.176541,-0.012476,0.988097
33,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.25D+01,0.35D+04,0.519924,-0.403600,-0.027566,0.972502,0.219063,-0.172188,-0.012172,0.992709
34,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.25D+01,0.50D+04,0.511302,-0.401419,-0.027421,0.974043,0.201938,-0.168287,-0.011899,0.994997
35,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.40D+01,0.35D+04,0.529459,-0.405797,-0.027712,0.970693,0.238042,-0.175882,-0.012430,0.989836
36,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.40D+01,0.50D+04,0.522871,-0.404426,-0.027621,0.971981,0.225118,-0.173644,-0.012273,0.991862
37,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.050,0.25D+01,0.35D+04,0.496316,-0.383285,-0.026215,0.974180,0.200000,-0.154897,-0.010963,0.993556
38,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.050,0.25D+01,0.50D+04,0.487977,-0.381020,-0.026064,0.975596,0.183331,-0.150981,-0.010689,0.995597
39,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.050,0.40D+01,0.35D+04,0.507064,-0.387030,-0.026465,0.972442,0.221253,-0.161155,-0.011401,0.990834
40,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.050,0.40D+01,0.50D+04,0.500591,-0.385578,-0.026368,0.973651,0.208464,-0.158884,-0.011242,0.992705
41,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.100,0.25D+01,0.35D+04,0.519048,-0.403275,-0.027545,0.972629,0.216560,-0.171601,-0.012131,0.993051
42,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.100,0.25D+01,0.50D+04,0.510753,-0.401123,-0.027402,0.974096,0.200072,-0.167742,-0.011861,0.995216
43,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.100,0.40D+01,0.35D+04,0.528657,-0.405572,-0.027697,0.970833,0.235941,-0.175518,-0.012404,0.990172
44,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.100,0.40D+01,0.50D+04,0.522238,-0.404213,-0.027607,0.972080,0.223369,-0.173265,-0.012247,0.992114
45,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.100,0.25D+01,0.35D+04,0.495271,-0.382800,-0.026183,0.974312,0.197200,-0.154020,-0.010901,0.993882
46,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.100,0.25D+01,0.50D+04,0.487278,-0.380570,-0.026034,0.975652,0.181196,-0.150152,-0.010631,0.995803
47,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.100,0.40D+01,0.35D+04,0.506111,-0.386682,-0.026441,0.972590,0.218888,-0.160579,-0.011360,0.991166
48,0.25D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.100,0.40D+01,0.50D+04,0.499819,-0.385246,-0.026346,0.973757,0.206468,-0.158297,-0.011201,0.992953
49,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.050,0.25D+01,0.35D+04,0.555747,-0.407954,-0.027855,0.963639,0.240418,-0.175111,-0.012376,0.989155
50,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.050,0.25D+01,0.50D+04,0.545358,-0.405773,-0.027711,0.965750,0.220636,-0.171211,-0.012103,0.992186
51,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.050,0.40D+01,0.35D+04,0.567061,-0.410165,-0.028002,0.961229,0.261695,-0.178820,-0.012635,0.985508
52,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.050,0.40D+01,0.50D+04,0.559254,-0.408790,-0.027911,0.962934,0.247226,-0.176582,-0.012478,0.988068
53,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.050,0.25D+01,0.35D+04,0.537003,-0.392135,-0.026804,0.965257,0.223645,-0.160326,-0.011343,0.990193
54,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.050,0.25D+01,0.50D+04,0.526946,-0.389895,-0.026655,0.967230,0.204342,-0.156448,-0.011071,0.992960
55,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.050,0.40D+01,0.35D+04,0.549632,-0.395930,-0.027057,0.962884,0.247457,-0.166705,-0.011789,0.986629
56,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.050,0.40D+01,0.50D+04,0.541954,-0.394495,-0.026961,0.964511,0.233145,-0.164457,-0.011632,0.989035
57,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.100,0.25D+01,0.35D+04,0.554692,-0.407630,-0.027834,0.963824,0.237736,-0.174525,-0.012335,0.989570
58,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.100,0.25D+01,0.50D+04,0.544690,-0.405479,-0.027691,0.965838,0.218631,-0.170667,-0.012065,0.992453
59,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.100,0.40D+01,0.35D+04,0.566118,-0.409940,-0.027987,0.961417,0.259486,-0.178458,-0.012609,0.985902
60,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-13,0.100,0.40D+01,0.50D+04,0.558496,-0.408578,-0.027897,0.963073,0.245362,-0.176205,-0.012452,0.988370
61,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.25D+01,0.35D+04,0.535760,-0.391640,-0.026771,0.965449,0.220594,-0.159436,-0.011280,0.990608
62,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.25D+01,0.50D+04,0.526113,-0.389436,-0.026625,0.967324,0.201999,-0.155604,-0.011012,0.993228
63,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.40D+01,0.35D+04,0.548519,-0.395576,-0.027033,0.963085,0.244933,-0.166120,-0.011748,0.987035
64,0.25D-11,0.100,0.35D+01,0.25D+04,0.10D-12,0.100,0.40D+01,0.50D+04,0.541043,-0.394157,-0.026939,0.964660,0.230984,-0.163860,-0.011590,0.989346
65,0.50D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.25D+01,0.35D+04,0.519912,-0.403594,-0.027566,0.972504,0.219057,-0.172183,-0.012171,0.992710
66,0.50D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.25D+01,0.50D+04,0.511289,-0.401413,-0.027421,0.974046,0.201933,-0.168282,-0.011899,0.994997
67,0.50D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.40D+01,0.35D+04,0.529448,-0.405792,-0.027712,0.970695,0.238038,-0.175878,-0.012429,0.989836
68,0.50D-11,0.100,0.25D+01,0.25D+04,0.10D-13,0.050,0.40D+01,0.50D+04,0.522860,-0.404421,-0.027621,0.971983,0.225114,-0.173640,-0.012273,0.991863
69,0.50D-11,0.100,0.25D+01,0.25D+04,0.10D-12,0.050,0.25D+01,0.35D+04,0.495540,-0.382639,-0.026172,0.974241,0.199447,-0.154365,-0.010926,0.993577
