Temp1,Temp2,Temp3,Time,dates
15.299123401871976,15.141527292202678,14.63371787525112,900.0,2022-05-01 14:15:00
15.319176867137797,15.104709832248048,14.619210821173729,1800.0,2022-05-01 14:30:00
15.340956218682267,15.060036332740182,14.603541740496702,2700.0,2022-05-01 14:45:00
15.366230249706405,15.053556650856695,14.594993694341053,3600.0,2022-05-01 15:00:00
15.357800785513092,15.03801213425607,14.586013185959576,4500.0,2022-05-01 15:15:00
15.348259275411598,15.037901754367406,14.582767511273849,5400.0,2022-05-01 15:30:00
15.3373322561886,14.986060469830344,14.562564007441813,6300.0,2022-05-01 15:45:00
15.335497269849933,14.994331957471331,14.554591685208008,7200.0,2022-05-01 16:00:00
15.336492056334762,14.9942732682713,14.55012248625275,8100.0,2022-05-01 16:15:00
15.333947722104291,14.968392472185508,14.537648848607176,9000.0,2022-05-01 16:30:00
15.319113531502344,14.983872053650078,14.537526047212769,9900.0,2022-05-01 16:45:00
15.284927576142396,14.95449850733554,14.529597381704496,10800.0,2022-05-01 17:00:00
15.237313049648836,14.932940188539035,14.52221558849524,11700.0,2022-05-01 17:15:00
15.178902564388425,14.907648782298754,14.515694989125029,12600.0,2022-05-01 17:30:00
15.108969697768854,14.895795683732574,14.517110153831174,13500.0,2022-05-01 17:45:00
15.02455390338848,14.8204865717809,14.500472291716855,14400.0,2022-05-01 18:00:00
14.942309217575932,14.7935971292896,14.492823950275202,15300.0,2022-05-01 18:15:00
14.86146413268198,14.717797590785278,14.471212213767071,16200.0,2022-05-01 18:30:00
14.803591032865173,14.698852507040144,14.46182571304458,17100.0,2022-05-01 18:45:00
14.753727988018955,14.672977258167757,14.455520348387951,18000.0,2022-05-01 19:00:00
14.710150285629917,14.644571587608514,14.448952697229888,18900.0,2022-05-01 19:15:00
14.663410689888456,14.600327954981385,14.435498097471278,19800.0,2022-05-01 19:30:00
14.615372597452954,14.584474780813816,14.429104472561852,20700.0,2022-05-01 19:45:00
14.554309864149392,14.560732926355463,14.424949422040983,21600.0,2022-05-01 20:00:00
14.480478149592146,14.494792491119671,14.406772413349977,22500.0,2022-05-01 20:15:00
14.41370835450286,14.476512468191224,14.399482513562456,23400.0,2022-05-01 20:30:00
14.358143011437075,14.433025496064449,14.387665753505804,24300.0,2022-05-01 20:45:00
14.330182864713064,14.42449544322752,14.384564467098135,25200.0,2022-05-01 21:00:00
14.311987392755912,14.385494839048974,14.372020854691186,26100.0,2022-05-01 21:15:00
14.307044660065364,14.361911517962968,14.357527338734142,27000.0,2022-05-01 21:30:00
14.314233735236646,14.383799751542965,14.35798255098672,27900.0,2022-05-01 21:45:00
14.32031838570523,14.364350869624282,14.349808700101644,28800.0,2022-05-01 22:00:00
14.325971076625857,14.352024471673964,14.338831709046124,29700.0,2022-05-01 22:15:00
14.339991817129071,14.360151865068598,14.333401252824109,30600.0,2022-05-01 22:30:00
14.359417037309456,14.352131176132405,14.323768797907022,31500.0,2022-05-01 22:45:00
14.380993985002698,14.351941818988193,14.313955270867716,32400.0,2022-05-01 23:00:00
14.3977753141354,14.366287937223428,14.309855994465464,33300.0,2022-05-01 23:15:00
14.40996381202646,14.375390805752652,14.307664904525245,34200.0,2022-05-01 23:30:00
14.416405266187068,14.364945970525309,14.299591767516231,35100.0,2022-05-01 23:45:00
14.431350350377128,14.391802551542396,14.302694778262332,36000.0,2022-05-02 00:00:00
14.443091258507131,14.383088780526672,14.298449226867591,36900.0,2022-05-02 00:15:00
14.447548072450672,14.35991213853737,14.284457040147666,37800.0,2022-05-02 00:30:00
14.444103736940152,14.371222456957671,14.279099400046883,38700.0,2022-05-02 00:45:00
14.417110016746468,14.37158074398266,14.277042224303178,39600.0,2022-05-02 01:00:00
14.379931786866717,14.33218672067084,14.263340730084415,40500.0,2022-05-02 01:15:00
14.359442493860447,14.346657875605056,14.264007402126662,41400.0,2022-05-02 01:30:00
14.345779159919989,14.327157883103045,14.259032732657417,42300.0,2022-05-02 01:45:00
14.344986860740388,14.32090178168688,14.254555934097434,43200.0,2022-05-02 02:00:00
14.356391688335025,14.334661898688186,14.25670781055762,44100.0,2022-05-02 02:15:00
14.370808853377662,14.31647022574868,14.248893647366836,45000.0,2022-05-02 02:30:00
14.395104855767984,14.334898128250694,14.2483106739318,45900.0,2022-05-02 02:45:00
14.423567934501044,14.361673736922924,14.254498437317682,46800.0,2022-05-02 03:00:00
14.44239729597607,14.339813308308551,14.245656454556672,47700.0,2022-05-02 03:15:00
14.468623932446766,14.339802677456849,14.235833401950392,48600.0,2022-05-02 03:30:00
