Temp1,Temp2,Temp3,Time,dates
15.303016705165048,15.202285079387298,14.643211043072274,900.0,2022-05-01 14:15:00
15.324792461065435,15.177096299513842,14.6174548361957,1800.0,2022-05-01 14:30:00
15.344605647410267,15.117931983648726,14.58539153994698,2700.0,2022-05-01 14:45:00
15.368775445851238,15.094340877453998,14.560116212097151,3600.0,2022-05-01 15:00:00
15.360765603458184,15.064204421837085,14.53853504367174,4500.0,2022-05-01 15:15:00
15.351823534014176,15.057561244242208,14.525512095483569,5400.0,2022-05-01 15:30:00
15.337560443738749,14.984592746471474,14.500843172179115,6300.0,2022-05-01 15:45:00
15.335906802360594,14.983879781112876,14.486794977368426,7200.0,2022-05-01 16:00:00
15.336702053149745,14.979439728891077,14.478920354155369,8100.0,2022-05-01 16:15:00
15.332425847606308,14.942317889396437,14.466005775653668,9000.0,2022-05-01 16:30:00
15.319813138501717,14.96087260001362,14.464225928111876,9900.0,2022-05-01 16:45:00
15.285904318136287,14.930973745044016,14.457975675607155,10800.0,2022-05-01 17:00:00
15.23954872970902,14.912106326870996,14.451964612480722,11700.0,2022-05-01 17:15:00
15.182573896447526,14.892874705979754,14.446945184552677,12600.0,2022-05-01 17:30:00
15.115633390922524,14.896625209664276,14.44928203320697,13500.0,2022-05-01 17:45:00
15.03039906950066,14.821163080347882,14.436512349423372,14400.0,2022-05-01 18:00:00
14.94993456706157,14.80255136437693,14.428990122425708,15300.0,2022-05-01 18:15:00
14.867310385129349,14.721761465175398,14.409305314005811,16200.0,2022-05-01 18:30:00
14.809791730965506,14.706390878250495,14.398110087288416,17100.0,2022-05-01 18:45:00
14.759988924842729,14.685074041874229,14.390812816497217,18000.0,2022-05-01 19:00:00
14.716090463425736,14.658680781569258,14.383857676425322,18900.0,2022-05-01 19:15:00
14.668282181304264,14.609342453731053,14.370718174922004,19800.0,2022-05-01 19:30:00
14.621163147879066,14.595617787546828,14.362669410148978,20700.0,2022-05-01 19:45:00
14.561601441409762,14.578368932610667,14.357281499615448,21600.0,2022-05-01 20:00:00
14.48692835659462,14.507653061111071,14.339525020458026,22500.0,2022-05-01 20:15:00
14.421526064552042,14.494918569641754,14.329077855226023,23400.0,2022-05-01 20:30:00
14.36504217750294,14.451261948932826,14.315427238014829,24300.0,2022-05-01 20:45:00
14.336647566220824,14.445932251752131,14.308877246121552,25200.0,2022-05-01 21:00:00
14.315986977519149,14.397954148216604,14.294980291897788,26100.0,2022-05-01 21:15:00
14.30876809639374,14.361099288971612,14.277982128465815,27000.0,2022-05-01 21:30:00
14.31644258257252,14.382663596100048,14.27384424538488,27900.0,2022-05-01 21:45:00
14.32084867546973,14.354867944883363,14.264314459212988,28800.0,2022-05-01 22:00:00
14.325230714095015,14.33176608529725,14.251665741716913,29700.0,2022-05-01 22:15:00
14.338835241404832,14.33442600997702,14.243650979280522,30600.0,2022-05-01 22:30:00
14.356611815243964,14.31686874860748,14.232868963590889,31500.0,2022-05-01 22:45:00
14.377069584977724,14.30706789758524,14.221678597112431,32400.0,2022-05-01 23:00:00
14.394326680905428,14.318741154363368,14.215838088742691,33300.0,2022-05-01 23:15:00
14.407009365406669,14.328445795694522,14.213027781977049,34200.0,2022-05-01 23:30:00
14.412856386847448,14.314049167850923,14.205866730011245,35100.0,2022-05-01 23:45:00
14.429032942189163,14.346629541136998,14.208346862516898,36000.0,2022-05-02 00:00:00
14.440005504071232,14.336594560537472,14.20612831110524,36900.0,2022-05-02 00:15:00
14.442924068434914,14.303495461840528,14.194517268569015,37800.0,2022-05-02 00:30:00
14.440830807526298,14.31524807541514,14.189024527966852,38700.0,2022-05-02 00:45:00
14.416202033049434,14.323782414539746,14.187572382216205,39600.0,2022-05-02 01:00:00
14.378677951543867,14.283860146513016,14.17642643503936,40500.0,2022-05-02 01:15:00
14.359938023053108,14.30935130470203,14.176495052992411,41400.0,2022-05-02 01:30:00
