Temp1,Temp2,Temp3,Time,dates
15.304905815365569,15.286577796606348,15.210552861805407,900.0,2022-05-01 14:15:00
15.32880726799132,15.327914892188415,15.31907624183771,1800.0,2022-05-01 14:30:00
15.356676634428316,15.352667469214566,15.349067665948354,2700.0,2022-05-01 14:45:00
15.383730325508704,15.381332212363182,15.377911276117782,3600.0,2022-05-01 15:00:00
15.375086407851276,15.375661085472538,15.376057572512895,4500.0,2022-05-01 15:15:00
15.364141145331628,15.36655571283301,15.36782601915386,5400.0,2022-05-01 15:30:00
15.357965306039366,15.354668128196172,15.35552276604554,6300.0,2022-05-01 15:45:00
15.354064224781496,15.355138748472568,15.355275184406125,7200.0,2022-05-01 16:00:00
15.355004895627282,15.355586164249484,15.355652957660295,8100.0,2022-05-01 16:15:00
15.354944130765787,15.35279015420932,15.352767075335567,9000.0,2022-05-01 16:30:00
15.336252778416416,15.340140238223972,15.341998815170369,9900.0,2022-05-01 16:45:00
15.302350021316313,15.305016830318175,15.309302388193938,10800.0,2022-05-01 17:00:00
15.252560878028127,15.257881914193865,15.264086719655475,11700.0,2022-05-01 17:15:00
15.191702006865537,15.198763631371357,15.206764265119103,12600.0,2022-05-01 17:30:00
15.116874993918993,15.12739589008903,15.136956156402189,13500.0,2022-05-01 17:45:00
15.033915837614677,15.040676141563228,15.052622327630925,14400.0,2022-05-01 18:00:00
14.947079112249162,14.958646157159658,14.970769654452624,15300.0,2022-05-01 18:15:00
14.867961098467896,14.874861640015515,14.888316714476272,16200.0,2022-05-01 18:30:00
14.806872114525014,14.816658903559148,14.82698395545752,17100.0,2022-05-01 18:45:00
14.755719028951766,14.764056932547636,14.773092651185452,18000.0,2022-05-01 19:00:00
14.711609445369232,14.718470607410527,14.726237611192555,18900.0,2022-05-01 19:15:00
14.66560171622988,14.670656363291062,14.678813890659,19800.0,2022-05-01 19:30:00
14.614754779454882,14.62350926727128,14.631886336879468,20700.0,2022-05-01 19:45:00
14.550911211727678,14.56155369154762,14.571955964748,21600.0,2022-05-01 20:00:00
14.477991275952029,14.48610613104225,14.499559811726025,22500.0,2022-05-01 20:15:00
14.407100146186988,14.419990341920618,14.432464055295457,23400.0,2022-05-01 20:30:00
14.351812301645085,14.360358125665808,14.371666143875242,24300.0,2022-05-01 20:45:00
14.322495485058733,14.329904102927362,14.336198442014236,25200.0,2022-05-01 21:00:00
14.307172772086586,14.308307630027194,14.312240935868944,26100.0,2022-05-01 21:15:00
14.303997264693493,14.303006158430115,14.304064563266316,27000.0,2022-05-01 21:30:00
14.30904751049016,14.312173937716947,14.31152137861534,27900.0,2022-05-01 21:45:00
