k,k2,l,l2,RMSE1,MAE1,PBias1,KGE1,RMSE2,MAE2,PBias2,KGE2,RMSE3,MAE3,PBias3,KGE3
1e-13,1e-15,2.0,2.0,0.8171448150126931,0.6445665957128511,-0.057368910609615985,0.3480320904895401,0.4626480019081339,0.3648407722499279,-0.24197770677754699,0.2110118129063605,0.25932175046118094,0.20157194910311005,0.008029661147566099,0.12765549561266576
1e-13,1e-15,2.0,2.6666666666666665,0.817182551046762,0.6445942308723644,-0.05780367608026615,0.3480483710580854,0.46799585815480843,0.3691893712629117,-0.25015178392232207,0.2134614600159478,0.28031233905076963,0.21790110865308782,-0.006013544303360399,0.13798212424408762
1e-13,1e-15,2.0,3.333333333333333,0.8172493301779131,0.6446457673474489,-0.05806268265728823,0.3480769463648238,0.4723142374868236,0.3726614678115154,-0.25500514116066597,0.21543697846407606,0.2939462135648777,0.2284689311484791,-0.01429784494752421,0.14468923216128804
1e-13,1e-15,2.0,4.0,0.8173182103739187,0.6446994087501606,-0.058238695429278606,0.3481063778833934,0.475785661748197,0.37543582814244936,-0.25829461439643325,0.21702412217621658,0.30361630792625977,0.23594891196081666,-0.01988796375924005,0.14944625940860523
1e-13,1e-15,2.6666666666666665,2.0,0.8206086256292975,0.6473461927152447,-0.0585389338473296,0.349508143282657,0.49371064968511513,0.38958219309672254,-0.2552254674596497,0.22519530925630427,0.2776147510739571,0.21588924253943587,-0.0007801482067722591,0.13665886409205164
1e-13,1e-15,2.6666666666666665,2.6666666666666665,0.8207760558690088,0.6474767127316655,-0.05897197122041056,0.34957966063035284,0.5013615763679373,0.39571969760387893,-0.2633282809414567,0.22869417808220716,0.2999014022635844,0.2331859674302442,-0.014715243018326859,0.14762278128524808
1e-13,1e-15,2.6666666666666665,3.333333333333333,0.8209336684942315,0.6476000157683698,-0.059228841116585176,0.3496469200408331,0.5071625631772074,0.400339372423646,-0.2681183593281873,0.2313450356191784,0.3141995775179113,0.2442463913769656,-0.022910212227602925,0.15465643370176851
1e-13,1e-15,2.6666666666666665,4.0,0.8210700583213315,0.6477067956883313,-0.059402829654546484,0.34970510138241373,0.5116695376531166,0.403918032510958,-0.2713544235416877,0.23340381569428537,0.32425163962995784,0.2520049902154885,-0.028427497254380707,0.15960116561856685
1e-13,1e-15,3.333333333333333,2.0,0.8228325593138478,0.6491323721769973,-0.059219545097077234,0.35045575313866495,0.5138880730510127,0.4056157558990417,-0.26295934768193924,0.23440661827839626,0.28904732882787015,0.22480315343402757,-0.005957206013495203,0.1422858887277697
1e-13,1e-15,3.333333333333333,2.6666666666666665,0.8230924970010617,0.6493359784639733,-0.059649679361881876,0.3505666655135131,0.5229464313902175,0.41282738542812525,-0.2709911789123515,0.23854651575011598,0.3119642382880687,0.24256227303840286,-0.019802222959103447,0.15355968835889844
