,z,T
0,-0.395,11.83105
1,-0.385,11.85115
2,-0.375,11.87125
3,-0.365,11.89135
4,-0.355,11.91145
5,-0.345,11.93155
6,-0.33499999999999996,11.95165
7,-0.32499999999999996,11.97175
8,-0.31499999999999995,11.99185
9,-0.30499999999999994,12.01195
10,-0.29499999999999993,12.04425
11,-0.2849999999999999,12.088750000000001
12,-0.2749999999999999,12.13325
13,-0.2649999999999999,12.177750000000001
14,-0.2549999999999999,12.22225
15,-0.24499999999999988,12.26675
16,-0.23499999999999988,12.311250000000001
17,-0.22499999999999987,12.35575
18,-0.21499999999999986,12.400250000000002
19,-0.20499999999999985,12.44475
20,-0.19499999999999984,12.499850000000002
21,-0.18499999999999983,12.565550000000002
22,-0.17499999999999982,12.631250000000001
23,-0.1649999999999998,12.696950000000001
24,-0.1549999999999998,12.762650000000002
25,-0.1449999999999998,12.828350000000002
26,-0.1349999999999998,12.894050000000002
27,-0.12499999999999978,12.959750000000001
28,-0.11499999999999977,13.025450000000003
29,-0.10499999999999976,13.091150000000003
30,-0.09499999999999975,13.15514285714286
31,-0.08499999999999974,13.217428571428574
32,-0.07499999999999973,13.279714285714288
33,-0.06499999999999972,13.342000000000002
34,-0.054999999999999716,13.404285714285717
35,-0.04499999999999971,13.46657142857143
36,-0.0349999999999997,13.528857142857145
37,-0.02499999999999969,13.59114285714286
38,-0.01499999999999968,13.653428571428574
39,-0.004999999999999671,13.715714285714288
