T3-475;Date;T-10 (øC);T-20 (øC);T-30 (øC);T-40 (øC)
3111;23/04/2022 03:15:00;11,818;11,648;11,344;11,107
3112;23/04/2022 03:30:00;11,827;11,66;11,352;11,11
3113;23/04/2022 03:45:00;11,834;11,671;11,359;11,113
3114;23/04/2022 04:00:00;11,842;11,681;11,367;11,116
3115;23/04/2022 04:15:00;11,85;11,692;11,373;11,119
3116;23/04/2022 04:30:00;11,856;11,701;11,38;11,122
3117;23/04/2022 04:45:00;11,862;11,71;11,388;11,126
3118;23/04/2022 05:00:00;11,866;11,719;11,396;11,129
3119;23/04/2022 05:15:00;11,872;11,728;11,403;11,134
3120;23/04/2022 05:30:00;11,875;11,736;11,409;11,137
3121;23/04/2022 05:45:00;11,88;11,742;11,417;11,142
3122;23/04/2022 06:00:00;11,883;11,749;11,423;11,145
3123;23/04/2022 06:15:00;11,884;11,754;11,431;11,149
3124;23/04/2022 06:30:00;11,887;11,76;11,437;11,152
3125;23/04/2022 06:45:00;11,887;11,765;11,443;11,157
3126;23/04/2022 07:00:00;11,889;11,769;11,447;11,161
3127;23/04/2022 07:15:00;11,889;11,772;11,453;11,164
3128;23/04/2022 07:30:00;11,889;11,775;11,458;11,169
3129;23/04/2022 07:45:00;11,887;11,777;11,464;11,174
3130;23/04/2022 08:00:00;11,886;11,778;11,469;11,177
3131;23/04/2022 08:15:00;11,884;11,78;11,473;11,181
3132;23/04/2022 08:30:00;11,881;11,78;11,476;11,184
3133;23/04/2022 08:45:00;11,878;11,78;11,481;11,189
3134;23/04/2022 09:00:00;11,875;11,78;11,484;11,192
3135;23/04/2022 09:15:00;11,872;11,778;11,487;11,196
3136;23/04/2022 09:30:00;11,868;11,775;11,49;11,199
3137;23/04/2022 09:45:00;11,862;11,774;11,491;11,203
3138;23/04/2022 10:00:00;11,857;11,771;11,494;11,207
3139;23/04/2022 10:15:00;11,851;11,766;11,496;11,21
3140;23/04/2022 10:30:00;11,845;11,763;11,496;11,213
3141;23/04/2022 10:45:00;11,839;11,759;11,497;11,216
3142;23/04/2022 11:00:00;11,833;11,754;11,499;11,218
3143;23/04/2022 11:15:00;11,825;11,748;11,499;11,221
3144;23/04/2022 11:30:00;11,819;11,743;11,499;11,224
3145;23/04/2022 11:45:00;11,812;11,737;11,499;11,227
3146;23/04/2022 12:00:00;11,804;11,73;11,497;11,228
3147;23/04/2022 12:15:00;11,796;11,724;11,497;11,231
3148;23/04/2022 12:30:00;11,789;11,716;11,496;11,233
3149;23/04/2022 12:45:00;11,78;11,71;11,494;11,234
3150;23/04/2022 13:00:00;11,772;11,702;11,493;11,236
3151;23/04/2022 13:15:00;11,765;11,695;11,491;11,238
3152;23/04/2022 13:30:00;11,757;11,687;11,488;11,239
3153;23/04/2022 13:45:00;11,748;11,678;11,487;11,241
3154;23/04/2022 14:00:00;11,74;11,671;11,484;11,242
3155;23/04/2022 14:15:00;11,733;11,663;11,481;11,242
3156;23/04/2022 14:30:00;11,725;11,654;11,478;11,244
3157;23/04/2022 14:45:00;11,718;11,646;11,475;11,244
3158;23/04/2022 15:00:00;11,71;11,639;11,472;11,245
3159;23/04/2022 15:15:00;11,704;11,63;11,467;11,245
3160;23/04/2022 15:30:00;11,696;11,622;11,464;11,245
3161;23/04/2022 15:45:00;11,69;11,614;11,461;11,245
3162;23/04/2022 16:00:00;11,684;11,607;11,456;11,245
3163;23/04/2022 16:15:00;11,678;11,599;11,452;11,245
3164;23/04/2022 16:30:00;11,674;11,592;11,449;11,245
3165;23/04/2022 16:45:00;11,668;11,584;11,444;11,244
3166;23/04/2022 17:00:00;11,663;11,576;11,441;11,244
3167;23/04/2022 17:15:00;11,66;11,57;11,437;11,244
3168;23/04/2022 17:30:00;11,657;11,564;11,432;11,242
3169;23/04/2022 17:45:00;11,652;11,558;11,429;11,241
3170;23/04/2022 18:00:00;11,651;11,554;11,425;11,241
3171;23/04/2022 18:15:00;11,649;11,548;11,42;11,239
3172;23/04/2022 18:30:00;11,648;11,543;11,417;11,238
3173;23/04/2022 18:45:00;11,646;11,54;11,414;11,236
3174;23/04/2022 19:00:00;11,646;11,535;11,409;11,236
3175;23/04/2022 19:15:00;11,646;11,532;11,406;11,234
3176;23/04/2022 19:30:00;11,648;11,531;11,403;11,233
3177;23/04/2022 19:45:00;11,649;11,529;11,4;11,231
3178;23/04/2022 20:00:00;11,651;11,528;11,397;11,23
3179;23/04/2022 20:15:00;11,654;11,526;11,394;11,228
3180;23/04/2022 20:30:00;11,657;11,526;11,393;11,228
3181;23/04/2022 20:45:00;11,661;11,526;11,39;11,227
3182;23/04/2022 21:00:00;11,666;11,528;11,388;11,225
3183;23/04/2022 21:15:00;11,671;11,529;11,387;11,224
3184;23/04/2022 21:30:00;11,675;11,532;11,385;11,222
3185;23/04/2022 21:45:00;11,681;11,534;11,385;11,222
3186;23/04/2022 22:00:00;11,687;11,538;11,384;11,221
3187;23/04/2022 22:15:00;11,695;11,542;11,384;11,219
3188;23/04/2022 22:30:00;11,701;11,546;11,384;11,219
3189;23/04/2022 22:45:00;11,709;11,552;11,384;11,218
3190;23/04/2022 23:00:00;11,716;11,557;11,385;11,218
3191;23/04/2022 23:15:00;11,724;11,563;11,385;11,216
3192;23/04/2022 23:30:00;11,733;11,57;11,387;11,216
3193;23/04/2022 23:45:00;11,74;11,576;11,388;11,216
3194;24/04/2022 00:00:00;11,749;11,584;11,39;11,216
3195;24/04/2022 00:15:00;11,757;11,592;11,393;11,216
3196;24/04/2022 00:30:00;11,766;11,599;11,394;11,216
3197;24/04/2022 00:45:00;11,775;11,608;11,397;11,216
3198;24/04/2022 01:00:00;11,784;11,616;11,4;11,216
3199;24/04/2022 01:15:00;11,793;11,625;11,405;11,216
3200;24/04/2022 01:30:00;11,801;11,634;11,408;11,216
3201;24/04/2022 01:45:00;11,81;11,643;11,412;11,218
3202;24/04/2022 02:00:00;11,819;11,652;11,415;11,218
3203;24/04/2022 02:15:00;11,827;11,661;11,42;11,219
3204;24/04/2022 02:30:00;11,836;11,671;11,425;11,221
3205;24/04/2022 02:45:00;11,843;11,68;11,429;11,222
3206;24/04/2022 03:00:00;11,851;11,689;11,434;11,222
3207;24/04/2022 03:15:00;11,859;11,696;11,438;11,224
3208;24/04/2022 03:30:00;11,866;11,705;11,444;11,225
3209;24/04/2022 03:45:00;11,874;11,715;11,449;11,228
3210;24/04/2022 04:00:00;11,88;11,724;11,455;11,23
3211;24/04/2022 04:15:00;11,886;11,731;11,46;11,231
3212;24/04/2022 04:30:00;11,892;11,739;11,466;11,234
3213;24/04/2022 04:45:00;11,898;11,746;11,47;11,236
3214;24/04/2022 05:00:00;11,903;11,754;11,476;11,238
3215;24/04/2022 05:15:00;11,909;11,762;11,481;11,241
3216;24/04/2022 05:30:00;11,913;11,769;11,485;11,244
3217;24/04/2022 05:45:00;11,916;11,775;11,491;11,245
3218;24/04/2022 06:00:00;11,921;11,781;11,496;11,248
3219;24/04/2022 06:15:00;11,924;11,786;11,502;11,251
3220;24/04/2022 06:30:00;11,925;11,792;11,507;11,254
3221;24/04/2022 06:45:00;11,928;11,796;11,511;11,257
3222;24/04/2022 07:00:00;11,93;11,801;11,516;11,259
3223;24/04/2022 07:15:00;11,931;11,804;11,52;11,262
3224;24/04/2022 07:30:00;11,931;11,807;11,525;11,265
3225;24/04/2022 07:45:00;11,931;11,81;11,529;11,268
3226;24/04/2022 08:00:00;11,931;11,813;11,532;11,271
3227;24/04/2022 08:15:00;11,931;11,815;11,537;11,274
3228;24/04/2022 08:30:00;11,93;11,818;11,54;11,277
3229;24/04/2022 08:45:00;11,928;11,818;11,543;11,28
3230;24/04/2022 09:00:00;11,927;11,819;11,548;11,283
3231;24/04/2022 09:15:00;11,924;11,819;11,551;11,285
3232;24/04/2022 09:30:00;11,922;11,819;11,552;11,288
3233;24/04/2022 09:45:00;11,919;11,818;11,555;11,291
3234;24/04/2022 10:00:00;11,916;11,818;11,557;11,294
3235;24/04/2022 10:15:00;11,912;11,816;11,56;11,295
3236;24/04/2022 10:30:00;11,909;11,813;11,561;11,298
3237;24/04/2022 10:45:00;11,904;11,812;11,563;11,301
3238;24/04/2022 11:00:00;11,9;11,809;11,564;11,303
3239;24/04/2022 11:15:00;11,895;11,806;11,566;11,306
3240;24/04/2022 11:30:00;11,89;11,803;11,566;11,307
3241;24/04/2022 11:45:00;11,884;11,8;11,566;11,311
3242;24/04/2022 12:00:00;11,88;11,795;11,567;11,312
3243;24/04/2022 12:15:00;11,875;11,79;11,567;11,314
3244;24/04/2022 12:30:00;11,869;11,786;11,567;11,315
3245;24/04/2022 12:45:00;11,865;11,781;11,566;11,318
3246;24/04/2022 13:00:00;11,86;11,777;11,566;11,32
3247;24/04/2022 13:15:00;11,854;11,772;11,564;11,321
3248;24/04/2022 13:30:00;11,85;11,766;11,564;11,323
3249;24/04/2022 13:45:00;11,845;11,762;11,563;11,323
3250;24/04/2022 14:00:00;11,84;11,756;11,561;11,324
3251;24/04/2022 14:15:00;11,836;11,749;11,56;11,326
3252;24/04/2022 14:30:00;11,831;11,745;11,558;11,327
3253;24/04/2022 14:45:00;11,828;11,739;11,557;11,327
3254;24/04/2022 15:00:00;11,824;11,734;11,554;11,329
3255;24/04/2022 15:15:00;11,821;11,728;11,552;11,329
3256;24/04/2022 15:30:00;11,818;11,724;11,551;11,329
3257;24/04/2022 15:45:00;11,816;11,719;11,548;11,33
3258;24/04/2022 16:00:00;11,813;11,715;11,546;11,33
3259;24/04/2022 16:15:00;11,812;11,71;11,543;11,33
3260;24/04/2022 16:30:00;11,812;11,705;11,542;11,33
3261;24/04/2022 16:45:00;11,81;11,702;11,538;11,33
3262;24/04/2022 17:00:00;11,81;11,699;11,537;11,33
3263;24/04/2022 17:15:00;11,812;11,696;11,534;11,33
3264;24/04/2022 17:30:00;11,813;11,693;11,532;11,33
3265;24/04/2022 17:45:00;11,815;11,69;11,529;11,33
3266;24/04/2022 18:00:00;11,816;11,689;11,528;11,33
3267;24/04/2022 18:15:00;11,819;11,689;11,526;11,329
3268;24/04/2022 18:30:00;11,822;11,687;11,525;11,329
3269;24/04/2022 18:45:00;11,827;11,687;11,523;11,329
3270;24/04/2022 19:00:00;11,83;11,689;11,522;11,329
3271;24/04/2022 19:15:00;11,836;11,689;11,52;11,329
3272;24/04/2022 19:30:00;11,84;11,69;11,519;11,327
3273;24/04/2022 19:45:00;11,847;11,693;11,519;11,327
3274;24/04/2022 20:00:00;11,854;11,696;11,517;11,327
3275;24/04/2022 20:15:00;11,86;11,699;11,517;11,326
3276;24/04/2022 20:30:00;11,868;11,704;11,517;11,326
3277;24/04/2022 20:45:00;11,877;11,709;11,519;11,326
3278;24/04/2022 21:00:00;11,884;11,713;11,519;11,326
3279;24/04/2022 21:15:00;11,893;11,719;11,52;11,326
3280;24/04/2022 21:30:00;11,903;11,725;11,52;11,326
3281;24/04/2022 21:45:00;11,912;11,733;11,523;11,326
3282;24/04/2022 22:00:00;11,921;11,739;11,525;11,326
3283;24/04/2022 22:15:00;11,931;11,748;11,526;11,326
3284;24/04/2022 22:30:00;11,942;11,756;11,529;11,327
3285;24/04/2022 22:45:00;11,951;11,765;11,532;11,327
3286;24/04/2022 23:00:00;11,962;11,774;11,535;11,329
3287;24/04/2022 23:15:00;11,972;11,783;11,538;11,329
3288;24/04/2022 23:30:00;11,983;11,792;11,543;11,33
3289;24/04/2022 23:45:00;11,993;11,803;11,548;11,33
3290;25/04/2022 00:00:00;12,004;11,812;11,552;11,332
3291;25/04/2022 00:15:00;12,015;11,822;11,557;11,333
3292;25/04/2022 00:30:00;12,024;11,833;11,561;11,335
3293;25/04/2022 00:45:00;12,034;11,843;11,566;11,336
3294;25/04/2022 01:00:00;12,045;11,854;11,572;11,338
3295;25/04/2022 01:15:00;12,054;11,866;11,578;11,339
3296;25/04/2022 01:30:00;12,065;11,877;11,583;11,342
3297;25/04/2022 01:45:00;12,074;11,887;11,589;11,344
3298;25/04/2022 02:00:00;12,083;11,898;11,595;11,347
3299;25/04/2022 02:15:00;12,09;11,907;11,602;11,349
3300;25/04/2022 02:30:00;12,099;11,918;11,608;11,352
3301;25/04/2022 02:45:00;12,107;11,928;11,614;11,355
3302;25/04/2022 03:00:00;12,115;11,937;11,62;11,358
3303;25/04/2022 03:15:00;12,122;11,948;11,627;11,361
3304;25/04/2022 03:30:00;12,128;11,957;11,634;11,364
3305;25/04/2022 03:45:00;12,134;11,966;11,64;11,367
3306;25/04/2022 04:00:00;12,14;11,974;11,646;11,37
3307;25/04/2022 04:15:00;12,146;11,983;11,654;11,373
3308;25/04/2022 04:30:00;12,151;11,99;11,66;11,376
3309;25/04/2022 04:45:00;12,154;11,997;11,666;11,38
3310;25/04/2022 05:00:00;12,158;12,004;11,672;11,384
3311;25/04/2022 05:15:00;12,162;12,01;11,678;11,387
3312;25/04/2022 05:30:00;12,165;12,016;11,684;11,391
3313;25/04/2022 05:45:00;12,166;12,021;11,69;11,394
3314;25/04/2022 06:00:00;12,168;12,025;11,695;11,397
3315;25/04/2022 06:15:00;12,169;12,03;11,701;11,402
3316;25/04/2022 06:30:00;12,169;12,033;11,705;11,405
3317;25/04/2022 06:45:00;12,169;12,036;11,712;11,409
3318;25/04/2022 07:00:00;12,169;12,039;11,716;11,412
3319;25/04/2022 07:15:00;12,169;12,04;11,719;11,417
3320;25/04/2022 07:30:00;12,168;12,042;11,724;11,42
3321;25/04/2022 07:45:00;12,166;12,043;11,728;11,423
3322;25/04/2022 08:00:00;12,163;12,043;11,731;11,428
3323;25/04/2022 08:15:00;12,16;12,043;11,734;11,431
3324;25/04/2022 08:30:00;12,157;12,043;11,737;11,434
3325;25/04/2022 08:45:00;12,154;12,042;11,74;11,438
3326;25/04/2022 09:00:00;12,151;12,04;11,743;11,441
3327;25/04/2022 09:15:00;12,146;12,039;11,745;11,444
3328;25/04/2022 09:30:00;12,142;12,036;11,748;11,447
3329;25/04/2022 09:45:00;12,136;12,033;11,749;11,45
3330;25/04/2022 10:00:00;12,131;12,03;11,751;11,453
3331;25/04/2022 10:15:00;12,125;12,027;11,751;11,456
3332;25/04/2022 10:30:00;12,119;12,022;11,752;11,46
3333;25/04/2022 10:45:00;12,113;12,018;11,752;11,461
3334;25/04/2022 11:00:00;12,106;12,013;11,752;11,464
3335;25/04/2022 11:15:00;12,099;12,009;11,752;11,467
3336;25/04/2022 11:30:00;12,092;12,003;11,752;11,469
3337;25/04/2022 11:45:00;12,084;11,997;11,752;11,47
3338;25/04/2022 12:00:00;12,078;11,99;11,751;11,473
3339;25/04/2022 12:15:00;12,069;11,984;11,751;11,475
3340;25/04/2022 12:30:00;12,062;11,978;11,749;11,476
3341;25/04/2022 12:45:00;12,054;11,971;11,748;11,478
3342;25/04/2022 13:00:00;12,046;11,963;11,746;11,479
3343;25/04/2022 13:15:00;12,039;11,957;11,743;11,481
3344;25/04/2022 13:30:00;12,03;11,95;11,742;11,482
3345;25/04/2022 13:45:00;12,022;11,942;11,739;11,484
3346;25/04/2022 14:00:00;12,013;11,934;11,737;11,484
3347;25/04/2022 14:15:00;12,006;11,927;11,734;11,485
3348;25/04/2022 14:30:00;11,998;11,918;11,731;11,485
3349;25/04/2022 14:45:00;11,99;11,91;11,728;11,487
3350;25/04/2022 15:00:00;11,981;11,903;11,725;11,487
3351;25/04/2022 15:15:00;11,975;11,895;11,722;11,487
3352;25/04/2022 15:30:00;11,968;11,887;11,718;11,487
3353;25/04/2022 15:45:00;11,96;11,88;11,715;11,487
3354;25/04/2022 16:00:00;11,954;11,871;11,71;11,487
3355;25/04/2022 16:15:00;11,947;11,863;11,707;11,487
3356;25/04/2022 16:30:00;11,94;11,856;11,702;11,487
3357;25/04/2022 16:45:00;11,936;11,85;11,699;11,485
3358;25/04/2022 17:00:00;11,93;11,842;11,695;11,485
3359;25/04/2022 17:15:00;11,925;11,834;11,692;11,485
3360;25/04/2022 17:30:00;11,921;11,828;11,687;11,484
3361;25/04/2022 17:45:00;11,916;11,822;11,683;11,484
3362;25/04/2022 18:00:00;11,913;11,816;11,68;11,482
3363;25/04/2022 18:15:00;11,91;11,81;11,675;11,481
3364;25/04/2022 18:30:00;11,907;11,806;11,672;11,481
3365;25/04/2022 18:45:00;11,906;11,801;11,668;11,479
3366;25/04/2022 19:00:00;11,903;11,796;11,665;11,478
3367;25/04/2022 19:15:00;11,903;11,792;11,66;11,476
3368;25/04/2022 19:30:00;11,901;11,789;11,657;11,476
3369;25/04/2022 19:45:00;11,901;11,786;11,654;11,475
3370;25/04/2022 20:00:00;11,901;11,783;11,651;11,473
3371;25/04/2022 20:15:00;11,903;11,781;11,648;11,472
3372;25/04/2022 20:30:00;11,904;11,78;11,645;11,47
3373;25/04/2022 20:45:00;11,906;11,778;11,642;11,469
3374;25/04/2022 21:00:00;11,907;11,778;11,639;11,467
3375;25/04/2022 21:15:00;11,91;11,778;11,637;11,467
3376;25/04/2022 21:30:00;11,913;11,778;11,636;11,466
3377;25/04/2022 21:45:00;11,916;11,78;11,634;11,464
3378;25/04/2022 22:00:00;11,919;11,781;11,633;11,463
3379;25/04/2022 22:15:00;11,924;11,784;11,631;11,461
3380;25/04/2022 22:30:00;11,927;11,786;11,63;11,461
3381;25/04/2022 22:45:00;11,931;11,789;11,63;11,46
3382;25/04/2022 23:00:00;11,936;11,792;11,63;11,458
3383;25/04/2022 23:15:00;11,94;11,795;11,63;11,458
3384;25/04/2022 23:30:00;11,945;11,8;11,63;11,456
3385;25/04/2022 23:45:00;11,95;11,804;11,63;11,456
3386;26/04/2022 00:00:00;11,954;11,809;11,631;11,455
3387;26/04/2022 00:15:00;11,957;11,813;11,631;11,455
3388;26/04/2022 00:30:00;11,962;11,818;11,633;11,455
3389;26/04/2022 00:45:00;11,966;11,822;11,634;11,453
3390;26/04/2022 01:00:00;11,971;11,827;11,636;11,453
3391;26/04/2022 01:15:00;11,974;11,833;11,637;11,453
3392;26/04/2022 01:30:00;11,977;11,837;11,639;11,453
3393;26/04/2022 01:45:00;11,98;11,842;11,642;11,453
3394;26/04/2022 02:00:00;11,983;11,847;11,643;11,453
3395;26/04/2022 02:15:00;11,986;11,851;11,646;11,453
3396;26/04/2022 02:30:00;11,987;11,856;11,648;11,455
3397;26/04/2022 02:45:00;11,989;11,86;11,651;11,455
3398;26/04/2022 03:00:00;11,99;11,865;11,652;11,455
3399;26/04/2022 03:15:00;11,99;11,868;11,655;11,456
3400;26/04/2022 03:30:00;11,99;11,871;11,658;11,456
3401;26/04/2022 03:45:00;11,99;11,875;11,66;11,458
3402;26/04/2022 04:00:00;11,989;11,877;11,663;11,458
3403;26/04/2022 04:15:00;11,987;11,88;11,665;11,46
3404;26/04/2022 04:30:00;11,984;11,881;11,668;11,461
3405;26/04/2022 04:45:00;11,981;11,883;11,669;11,461
3406;26/04/2022 05:00:00;11,978;11,883;11,672;11,463
3407;26/04/2022 05:15:00;11,974;11,883;11,674;11,464
3408;26/04/2022 05:30:00;11,969;11,883;11,675;11,466
3409;26/04/2022 05:45:00;11,965;11,883;11,677;11,466
3410;26/04/2022 06:00:00;11,959;11,881;11,678;11,467
3411;26/04/2022 06:15:00;11,953;11,878;11,68;11,469
3412;26/04/2022 06:30:00;11,945;11,877;11,68;11,469
3413;26/04/2022 06:45:00;11,937;11,872;11,681;11,47
3414;26/04/2022 07:00:00;11,928;11,869;11,681;11,472
3415;26/04/2022 07:15:00;11,921;11,865;11,681;11,472
3416;26/04/2022 07:30:00;11,91;11,86;11,681;11,473
3417;26/04/2022 07:45:00;11,901;11,854;11,68;11,475
3418;26/04/2022 08:00:00;11,89;11,848;11,68;11,475
3419;26/04/2022 08:15:00;11,88;11,842;11,678;11,476
3420;26/04/2022 08:30:00;11,868;11,834;11,677;11,476
3421;26/04/2022 08:45:00;11,856;11,827;11,675;11,478
3422;26/04/2022 09:00:00;11,843;11,818;11,674;11,478
3423;26/04/2022 09:15:00;11,83;11,809;11,671;11,478
3424;26/04/2022 09:30:00;11,818;11,8;11,669;11,478
3425;26/04/2022 09:45:00;11,804;11,79;11,666;11,478
3426;26/04/2022 10:00:00;11,79;11,78;11,661;11,478
3427;26/04/2022 10:15:00;11,775;11,769;11,658;11,478
3428;26/04/2022 10:30:00;11,762;11,757;11,654;11,478
3429;26/04/2022 10:45:00;11,746;11,746;11,649;11,478
3430;26/04/2022 11:00:00;11,731;11,733;11,645;11,476
3431;26/04/2022 11:15:00;11,716;11,721;11,64;11,476
3432;26/04/2022 11:30:00;11,701;11,709;11,634;11,475
3433;26/04/2022 11:45:00;11,686;11,695;11,63;11,475
3434;26/04/2022 12:00:00;11,669;11,681;11,624;11,473
3435;26/04/2022 12:15:00;11,654;11,668;11,617;11,472
3436;26/04/2022 12:30:00;11,639;11,654;11,61;11,47
3437;26/04/2022 12:45:00;11,624;11,639;11,604;11,469
3438;26/04/2022 13:00:00;11,608;11,625;11,596;11,466
3439;26/04/2022 13:15:00;11,593;11,61;11,59;11,464
3440;26/04/2022 13:30:00;11,579;11,596;11,583;11,463
3441;26/04/2022 13:45:00;11,564;11,583;11,575;11,46
3442;26/04/2022 14:00:00;11,551;11,567;11,567;11,456
3443;26/04/2022 14:15:00;11,537;11,554;11,558;11,455
3444;26/04/2022 14:30:00;11,525;11,54;11,551;11,452
3445;26/04/2022 14:45:00;11,513;11,525;11,542;11,449
3446;26/04/2022 15:00:00;11,501;11,511;11,534;11,446
3447;26/04/2022 15:15:00;11,488;11,499;11,525;11,441
3448;26/04/2022 15:30:00;11,478;11,485;11,517;11,438
3449;26/04/2022 15:45:00;11,467;11,473;11,508;11,435
3450;26/04/2022 16:00:00;11,458;11,46;11,499;11,431
3451;26/04/2022 16:15:00;11,449;11,447;11,491;11,428
3452;26/04/2022 16:30:00;11,44;11,435;11,482;11,423
3453;26/04/2022 16:45:00;11,432;11,425;11,475;11,418
3454;26/04/2022 17:00:00;11,425;11,414;11,466;11,415
3455;26/04/2022 17:15:00;11,418;11,403;11,456;11,411
3456;26/04/2022 17:30:00;11,414;11,394;11,449;11,406
3457;26/04/2022 17:45:00;11,409;11,385;11,441;11,402
3458;26/04/2022 18:00:00;11,405;11,377;11,432;11,397
3459;26/04/2022 18:15:00;11,402;11,37;11,425;11,393
3460;26/04/2022 18:30:00;11,4;11,364;11,418;11,388
3461;26/04/2022 18:45:00;11,399;11,358;11,411;11,384
3462;26/04/2022 19:00:00;11,397;11,352;11,403;11,379
3463;26/04/2022 19:15:00;11,397;11,347;11,397;11,374
3464;26/04/2022 19:30:00;11,399;11,344;11,391;11,37
3465;26/04/2022 19:45:00;11,4;11,341;11,385;11,365
3466;26/04/2022 20:00:00;11,403;11,338;11,379;11,361
3467;26/04/2022 20:15:00;11,406;11,336;11,373;11,356
3468;26/04/2022 20:30:00;11,411;11,336;11,368;11,352
3469;26/04/2022 20:45:00;11,415;11,336;11,364;11,349
3470;26/04/2022 21:00:00;11,422;11,338;11,359;11,344
3471;26/04/2022 21:15:00;11,428;11,339;11,356;11,339
3472;26/04/2022 21:30:00;11,434;11,342;11,353;11,335
3473;26/04/2022 21:45:00;11,441;11,346;11,35;11,332
3474;26/04/2022 22:00:00;11,449;11,349;11,347;11,327
3475;26/04/2022 22:15:00;11,458;11,353;11,346;11,324
3476;26/04/2022 22:30:00;11,467;11,359;11,344;11,321
3477;26/04/2022 22:45:00;11,476;11,365;11,342;11,317
3478;26/04/2022 23:00:00;11,485;11,371;11,341;11,314
3479;26/04/2022 23:15:00;11,494;11,379;11,341;11,311
3480;26/04/2022 23:30:00;11,505;11,387;11,341;11,307
3481;26/04/2022 23:45:00;11,516;11,396;11,342;11,306
3482;27/04/2022 00:00:00;11,525;11,405;11,344;11,303
3483;27/04/2022 00:15:00;11,535;11,414;11,346;11,301
3484;27/04/2022 00:30:00;11,546;11,423;11,347;11,298
3485;27/04/2022 00:45:00;11,557;11,432;11,349;11,297
3486;27/04/2022 01:00:00;11,567;11,443;11,352;11,295
3487;27/04/2022 01:15:00;11,576;11,453;11,355;11,294
3488;27/04/2022 01:30:00;11,587;11,463;11,358;11,292
3489;27/04/2022 01:45:00;11,596;11,473;11,361;11,291
3490;27/04/2022 02:00:00;11,607;11,484;11,365;11,291
3491;27/04/2022 02:15:00;11,616;11,494;11,37;11,289
3492;27/04/2022 02:30:00;11,624;11,505;11,373;11,289
3493;27/04/2022 02:45:00;11,633;11,514;11,377;11,289
3494;27/04/2022 03:00:00;11,64;11,525;11,382;11,289
3495;27/04/2022 03:15:00;11,648;11,535;11,388;11,289
3496;27/04/2022 03:30:00;11,655;11,545;11,393;11,289
3497;27/04/2022 03:45:00;11,661;11,554;11,397;11,289
3498;27/04/2022 04:00:00;11,668;11,563;11,403;11,291
3499;27/04/2022 04:15:00;11,674;11,572;11,408;11,291
3500;27/04/2022 04:30:00;11,678;11,579;11,412;11,292
3501;27/04/2022 04:45:00;11,681;11,587;11,418;11,294
3502;27/04/2022 05:00:00;11,686;11,595;11,423;11,294
3503;27/04/2022 05:15:00;11,689;11,601;11,428;11,295
3504;27/04/2022 05:30:00;11,69;11,608;11,434;11,297
3505;27/04/2022 05:45:00;11,692;11,613;11,438;11,298
3506;27/04/2022 06:00:00;11,693;11,619;11,443;11,3
3507;27/04/2022 06:15:00;11,693;11,624;11,447;11,301
3508;27/04/2022 06:30:00;11,693;11,627;11,452;11,303
3509;27/04/2022 06:45:00;11,693;11,63;11,455;11,306
3510;27/04/2022 07:00:00;11,692;11,633;11,46;11,307
3511;27/04/2022 07:15:00;11,69;11,634;11,463;11,309
3512;27/04/2022 07:30:00;11,687;11,636;11,467;11,311
3513;27/04/2022 07:45:00;11,684;11,637;11,47;11,312
3514;27/04/2022 08:00:00;11,68;11,637;11,473;11,315
3515;27/04/2022 08:15:00;11,675;11,636;11,475;11,317
3516;27/04/2022 08:30:00;11,671;11,636;11,478;11,318
3517;27/04/2022 08:45:00;11,665;11,634;11,479;11,32
3518;27/04/2022 09:00:00;11,658;11,631;11,481;11,321
3519;27/04/2022 09:15:00;11,651;11,628;11,482;11,323
3520;27/04/2022 09:30:00;11,645;11,624;11,484;11,324
3521;27/04/2022 09:45:00;11,636;11,62;11,484;11,326
3522;27/04/2022 10:00:00;11,628;11,614;11,484;11,327
3523;27/04/2022 10:15:00;11,619;11,61;11,484;11,329
3524;27/04/2022 10:30:00;11,61;11,604;11,484;11,33
3525;27/04/2022 10:45:00;11,601;11,598;11,484;11,332
3526;27/04/2022 11:00:00;11,59;11,59;11,482;11,332
3527;27/04/2022 11:15:00;11,579;11,583;11,481;11,333
3528;27/04/2022 11:30:00;11,569;11,575;11,479;11,333
3529;27/04/2022 11:45:00;11,558;11,566;11,476;11,335
3530;27/04/2022 12:00:00;11,548;11,558;11,475;11,335
3531;27/04/2022 12:15:00;11,537;11,549;11,472;11,335
3532;27/04/2022 12:30:00;11,526;11,538;11,469;11,335
3533;27/04/2022 12:45:00;11,514;11,529;11,466;11,335
3534;27/04/2022 13:00:00;11,504;11,52;11,463;11,335
3535;27/04/2022 13:15:00;11,493;11,51;11,458;11,335
3536;27/04/2022 13:30:00;11,482;11,499;11,453;11,335
3537;27/04/2022 13:45:00;11,472;11,488;11,449;11,335
3538;27/04/2022 14:00:00;11,463;11,479;11,444;11,333
3539;27/04/2022 14:15:00;11,452;11,469;11,44;11,332
3540;27/04/2022 14:30:00;11,443;11,458;11,435;11,332
3541;27/04/2022 14:45:00;11,434;11,447;11,431;11,33
3542;27/04/2022 15:00:00;11,425;11,438;11,425;11,329
3543;27/04/2022 15:15:00;11,417;11,428;11,418;11,327
3544;27/04/2022 15:30:00;11,409;11,417;11,414;11,326
3545;27/04/2022 15:45:00;11,402;11,408;11,408;11,324
3546;27/04/2022 16:00:00;11,394;11,399;11,402;11,321
