case,pm,gradient,model,t_s,value
TH2,PM1,0,1,0,-5
TH2,PM1,0,1,60,-4.99991
TH2,PM1,0,1,660,-4.8041
TH2,PM1,0,1,1860,-3.21043
TH2,PM1,0,1,2460,-2.53246
TH2,PM1,0,1,3060,-2.03566
TH2,PM1,0,1,3660,-1.69255
TH2,PM1,0,1,4260,-1.478
TH2,PM1,0,1,4860,-1.35503
TH2,PM1,0,1,6060,-1.23336
TH2,PM1,0,1,6660,-1.19699
TH2,PM1,0,1,7260,-1.16825
TH2,PM1,0,1,7860,-1.14451
TH2,PM1,0,1,8460,-1.12425
TH2,PM1,0,1,9060,-1.10658
TH2,PM1,0,1,10260,-1.07667
TH2,PM1,0,1,10860,-1.06373
TH2,PM1,0,1,11460,-1.05184
TH2,PM1,0,1,12060,-1.04081
TH2,PM1,0,1,12660,-1.03051
TH2,PM1,0,1,13260,-1.02086
TH2,PM1,0,1,14460,-1.00314
TH2,PM1,0,1,15060,-0.994964
TH2,PM1,0,1,15660,-0.987169
TH2,PM1,0,1,16260,-0.979721
TH2,PM1,0,1,16860,-0.972585
TH2,PM1,0,1,18060,-0.959139
TH2,PM1,0,1,18660,-0.952783
TH2,PM1,0,1,19260,-0.946644
TH2,PM1,0,1,19860,-0.940706
TH2,PM1,0,1,20460,-0.934954
TH2,PM1,0,1,21060,-0.929373
TH2,PM1,0,1,22260,-0.918682
TH2,PM1,0,1,22860,-0.913551
TH2,PM1,0,1,23460,-0.908551
TH2,PM1,0,1,24060,-0.903673
TH2,PM1,0,1,24660,-0.898911
TH2,PM1,0,1,25260,-0.894257
TH2,PM1,0,1,26460,-0.885252
TH2,PM1,0,1,27060,-0.880889
TH2,PM1,0,1,27660,-0.876613
TH2,PM1,0,1,28260,-0.87242
TH2,PM1,0,1,28860,-0.868305
TH2,PM1,0,1,29460,-0.864264
TH2,PM1,0,1,30660,-0.856391
TH2,PM1,0,1,31260,-0.852553
TH2,PM1,0,1,31860,-0.848777
TH2,PM1,0,1,32460,-0.845059
TH2,PM1,0,1,33060,-0.841397
TH2,PM1,0,1,34260,-0.834232
TH2,PM1,0,1,34860,-0.830725
TH2,PM1,0,1,35460,-0.827264
TH2,PM1,0,1,36060,-0.82385
TH2,PM1,0,1,36660,-0.820479
TH2,PM1,0,1,37260,-0.817149
TH2,PM1,0,1,38460,-0.81061
TH2,PM1,0,1,39060,-0.807397
TH2,PM1,0,1,39660,-0.80422
TH2,PM1,0,1,40260,-0.801077
TH2,PM1,0,1,40860,-0.797968
TH2,PM1,0,1,41460,-0.79489
TH2,PM1,0,1,42660,-0.788827
TH2,PM1,0,1,43260,-0.78584
TH2,PM1,0,1,43860,-0.78288
TH2,PM1,0,1,44460,-0.779947
TH2,PM1,0,1,45060,-0.777039
TH2,PM1,0,1,45660,-0.774157
TH2,PM1,0,1,46860,-0.768464
TH2,PM1,0,1,47460,-0.765652
TH2,PM1,0,1,48060,-0.762862
TH2,PM1,0,1,48660,-0.760093
TH2,PM1,0,1,49260,-0.757344
TH2,PM1,0,1,50460,-0.751905
TH2,PM1,0,1,51060,-0.749214
TH2,PM1,0,1,51660,-0.74654
TH2,PM1,0,1,52260,-0.743884
TH2,PM1,0,1,52860,-0.741244
TH2,PM1,0,1,53460,-0.738621
TH2,PM1,0,1,54660,-0.733421
TH2,PM1,0,1,55260,-0.730843
TH2,PM1,0,1,55860,-0.728279
TH2,PM1,0,1,56460,-0.725729
TH2,PM1,0,1,57060,-0.723193
TH2,PM1,0,1,57660,-0.720669
TH2,PM1,0,1,58860,-0.715658
TH2,PM1,0,1,59460,-0.71317
TH2,PM1,0,1,60060,-0.710693
TH2,PM1,0,1,60660,-0.708227
TH2,PM1,0,1,61260,-0.705772
TH2,PM1,0,1,61860,-0.703326
TH2,PM1,0,1,63060,-0.698464
TH2,PM1,0,1,63660,-0.696047
TH2,PM1,0,1,64260,-0.693638
TH2,PM1,0,1,64860,-0.691237
TH2,PM1,0,1,65460,-0.688845
TH2,PM1,0,1,66660,-0.684083
TH2,PM1,0,1,67260,-0.681712
TH2,PM1,0,1,67860,-0.679349
TH2,PM1,0,1,68460,-0.676992
TH2,PM1,0,1,69060,-0.674641
TH2,PM1,0,1,69660,-0.672296
TH2,PM1,0,1,70860,-0.667622
TH2,PM1,0,1,71460,-0.665293
TH2,PM1,0,1,72060,-0.662969
TH2,PM1,0,1,72660,-0.660649
TH2,PM1,0,1,73260,-0.658334
TH2,PM1,0,1,73860,-0.656022
TH2,PM1,0,1,75060,-0.65141
TH2,PM1,0,1,75660,-0.649109
TH2,PM1,0,1,76260,-0.646811
TH2,PM1,0,1,76860,-0.644516
TH2,PM1,0,1,77460,-0.642223
TH2,PM1,0,1,78060,-0.639932
TH2,PM1,0,1,79260,-0.635355
TH2,PM1,0,1,79860,-0.633069
TH2,PM1,0,1,80460,-0.630785
TH2,PM1,0,1,81060,-0.628501
TH2,PM1,0,1,81660,-0.626218
TH2,PM1,0,1,82860,-0.621652
TH2,PM1,0,1,83460,-0.619369
TH2,PM1,0,1,84060,-0.617086
TH2,PM1,0,1,84660,-0.614802
TH2,PM1,0,1,85260,-0.612517
TH2,PM1,0,1,85860,-0.61023
TH2,PM1,0,1,87060,-0.605653
TH2,PM1,0,1,87660,-0.603362
TH2,PM1,0,1,88260,-0.601068
TH2,PM1,0,1,88860,-0.598772
TH2,PM1,0,1,89460,-0.596473
TH2,PM1,0,1,90060,-0.59417
TH2,PM1,0,1,91260,-0.589555
TH2,PM1,0,1,91860,-0.587241
TH2,PM1,0,1,92460,-0.584923
TH2,PM1,0,1,93060,-0.5826
TH2,PM1,0,1,93660,-0.580273
TH2,PM1,0,1,94260,-0.577939
TH2,PM1,0,1,95460,-0.573255
TH2,PM1,0,1,96060,-0.570904
TH2,PM1,0,1,96660,-0.568545
TH2,PM1,0,1,97260,-0.56618
TH2,PM1,0,1,97860,-0.563807
TH2,PM1,0,1,99060,-0.559036
TH2,PM1,0,1,99660,-0.556638
TH2,PM1,0,1,100260,-0.55423
TH2,PM1,0,1,100860,-0.551812
TH2,PM1,0,1,101460,-0.549385
TH2,PM1,0,1,102060,-0.546947
TH2,PM1,0,1,103260,-0.542036
TH2,PM1,0,1,103860,-0.539563
TH2,PM1,0,1,104460,-0.537076
TH2,PM1,0,1,105060,-0.534577
TH2,PM1,0,1,105660,-0.532063
TH2,PM1,0,1,106260,-0.529535
TH2,PM1,0,1,107460,-0.524432
TH2,PM1,0,1,108060,-0.521855
TH2,PM1,0,1,108660,-0.519261
TH2,PM1,0,1,109260,-0.516649
TH2,PM1,0,1,109860,-0.514018
TH2,PM1,0,1,110460,-0.511367
TH2,PM1,0,1,111660,-0.506001
TH2,PM1,0,1,112260,-0.503284
TH2,PM1,0,1,112860,-0.500544
TH2,PM1,0,1,113460,-0.497778
TH2,PM1,0,1,114060,-0.494986
TH2,PM1,0,1,115260,-0.489318
TH2,PM1,0,1,115860,-0.48644
TH2,PM1,0,1,116460,-0.483529
TH2,PM1,0,1,117060,-0.480586
TH2,PM1,0,1,117660,-0.477607
TH2,PM1,0,1,118260,-0.474591
TH2,PM1,0,1,119460,-0.46844
TH2,PM1,0,1,120060,-0.465301
TH2,PM1,0,1,120660,-0.462116
TH2,PM1,0,1,121260,-0.458883
TH2,PM1,0,1,121860,-0.455598
TH2,PM1,0,1,122460,-0.452259
TH2,PM1,0,1,123660,-0.445405
TH2,PM1,0,1,124260,-0.441881
TH2,PM1,0,1,124860,-0.438288
TH2,PM1,0,1,125460,-0.43462
TH2,PM1,0,1,126060,-0.430873
TH2,PM1,0,1,126660,-0.427039
TH2,PM1,0,1,127860,-0.419088
TH2,PM1,0,1,128460,-0.414954
TH2,PM1,0,1,129060,-0.410703
TH2,PM1,0,1,129660,-0.406325
TH2,PM1,0,1,130260,-0.401807
TH2,PM1,0,1,131460,-0.392296
TH2,PM1,0,1,132060,-0.387269
TH2,PM1,0,1,132660,-0.382033
TH2,PM1,0,1,133260,-0.376563
TH2,PM1,0,1,133860,-0.370828
TH2,PM1,0,1,134460,-0.364792
TH2,PM1,0,1,135660,-0.351626
TH2,PM1,0,1,136260,-0.344367
TH2,PM1,0,1,136860,-0.336544
TH2,PM1,0,1,137460,-0.328032
TH2,PM1,0,1,138060,-0.318663
TH2,PM1,0,1,138660,-0.308196
TH2,PM1,0,1,139860,-0.282272
TH2,PM1,0,1,140460,-0.265099
TH2,PM1,0,1,141060,-0.242326
TH2,PM1,0,1,141660,-0.206702
TH2,PM1,0,1,142260,-0.0361363
TH2,PM1,0,1,142860,0.570812
TH2,PM1,0,1,144060,0.843188
TH2,PM1,0,1,144660,0.928531
TH2,PM1,0,1,145260,0.99927
TH2,PM1,0,1,145860,1.06
TH2,PM1,0,1,146460,1.11358
TH2,PM1,0,1,147660,1.20546
TH2,PM1,0,1,148260,1.24568
TH2,PM1,0,1,148860,1.28294
TH2,PM1,0,1,149460,1.31769
TH2,PM1,0,1,150060,1.35026
TH2,PM1,0,1,150660,1.38096
TH2,PM1,0,1,151860,1.43746
TH2,PM1,0,1,152460,1.46363
TH2,PM1,0,1,153060,1.48862
TH2,PM1,0,1,153660,1.51253
TH2,PM1,0,1,154260,1.53546
TH2,PM1,0,1,154860,1.5575
TH2,PM1,0,1,156060,1.59917
TH2,PM1,0,1,156660,1.61892
TH2,PM1,0,1,157260,1.63802
TH2,PM1,0,1,157860,1.65651
TH2,PM1,0,1,158460,1.67439
TH2,PM1,0,1,159060,1.69174
TH2,PM1,0,1,160260,1.725
TH2,PM1,0,1,160860,1.74097
TH2,PM1,0,1,161460,1.75652
TH2,PM1,0,1,162060,1.77168
TH2,PM1,0,1,162660,1.78648
TH2,PM1,0,1,163860,1.81505
TH2,PM1,0,1,164460,1.82887
TH2,PM1,0,1,165060,1.84235
TH2,PM1,0,1,165660,1.85554
TH2,PM1,0,1,166260,1.86847
TH2,PM1,0,1,166860,1.88115
TH2,PM1,0,1,168060,1.90579
TH2,PM1,0,1,168660,1.91777
TH2,PM1,0,1,169260,1.92955
TH2,PM1,0,1,169860,1.94112
TH2,PM1,0,1,170460,1.9525
TH2,PM1,0,1,171060,1.96369
TH2,PM1,0,1,172260,1.98549
TH2,PM1,0,1,172860,1.99614
TH2,PM1,0,1,173460,2.00663
TH2,PM1,0,1,174060,2.01697
TH2,PM1,0,1,174660,2.02717
TH2,PM1,0,1,175260,2.03723
TH2,PM1,0,1,176460,2.05695
TH2,PM1,0,1,177060,2.06662
TH2,PM1,0,1,177660,2.07616
TH2,PM1,0,1,178260,2.08556
TH2,PM1,0,1,178860,2.09485
TH2,PM1,0,1,180060,2.11311
TH2,PM1,0,1,180660,2.12208
TH2,PM1,0,1,181260,2.13096
TH2,PM1,0,1,181860,2.13974
TH2,PM1,0,1,182460,2.14843
TH2,PM1,0,1,183060,2.15702
TH2,PM1,0,1,184260,2.17394
TH2,PM1,0,1,184860,2.18226
TH2,PM1,0,1,185460,2.19049
TH2,PM1,0,1,186060,2.19865
TH2,PM1,0,1,186660,2.20674
TH2,PM1,0,1,187260,2.21475
TH2,PM1,0,1,188460,2.23056
TH2,PM1,0,1,189060,2.23836
TH2,PM1,0,1,189660,2.2461
TH2,PM1,0,1,190260,2.25375
TH2,PM1,0,1,190860,2.26133
TH2,PM1,0,1,191460,2.26885
TH2,PM1,0,1,192660,2.28371
TH2,PM1,0,1,193260,2.29106
TH2,PM1,0,1,193860,2.29835
TH2,PM1,0,1,194460,2.30559
TH2,PM1,0,1,195060,2.31277
TH2,PM1,0,1,196260,2.32695
TH2,PM1,0,1,196860,2.33395
TH2,PM1,0,1,197460,2.34091
TH2,PM1,0,1,198060,2.34781
TH2,PM1,0,1,198660,2.35467
TH2,PM1,0,1,199260,2.36149
TH2,PM1,0,1,200460,2.37498
TH2,PM1,0,1,201060,2.38166
TH2,PM1,0,1,201660,2.38828
TH2,PM1,0,1,202260,2.39485
TH2,PM1,0,1,202860,2.40138
TH2,PM1,0,1,203460,2.40787
TH2,PM1,0,1,204660,2.42073
TH2,PM1,0,1,205260,2.4271
TH2,PM1,0,1,205860,2.43344
TH2,PM1,0,1,206460,2.43974
TH2,PM1,0,1,207060,2.44598
TH2,PM1,0,1,207660,2.45218
TH2,PM1,0,1,208860,2.46448
TH2,PM1,0,1,209460,2.47058
TH2,PM1,0,1,210060,2.47664
TH2,PM1,0,2,0.01,-5
TH2,PM1,0,2,0.631799,-5
TH2,PM1,0,2,1.41914,-5
TH2,PM1,0,2,2.38177,-5
TH2,PM1,0,2,3.59346,-5
TH2,PM1,0,2,5.09921,-5
TH2,PM1,0,2,7.00359,-5
TH2,PM1,0,2,9.36473,-5
TH2,PM1,0,2,12.2988,-5
TH2,PM1,0,2,15.9424,-5
TH2,PM1,0,2,20.6105,-5
TH2,PM1,0,2,26.3277,-5
TH2,PM1,0,2,33.4273,-5
TH2,PM1,0,2,42.3486,-5
TH2,PM1,0,2,53.6628,-5
TH2,PM1,0,2,67.4953,-5
TH2,PM1,0,2,84.876,-5
TH2,PM1,0,2,106.507,-5
TH2,PM1,0,2,133.866,-5
TH2,PM1,0,2,167.727,-5
TH2,PM1,0,2,209.863,-4.99995
TH2,PM1,0,2,262.169,-4.99949
TH2,PM1,0,2,329.059,-4.99668
TH2,PM1,0,2,403.809,-4.98697
TH2,PM1,0,2,478.558,-4.96613
TH2,PM1,0,2,562.744,-4.92566
TH2,PM1,0,2,654.735,-4.86016
TH2,PM1,0,2,748.126,-4.77208
TH2,PM1,0,2,856.466,-4.64739
TH2,PM1,0,2,965.83,-4.50344
TH2,PM1,0,2,1089.87,-4.32458
TH2,PM1,0,2,1222.11,-4.12569
TH2,PM1,0,2,1363.87,-3.90905
TH2,PM1,0,2,1521.98,-3.67103
TH2,PM1,0,2,1688.41,-3.43009
TH2,PM1,0,2,1872.49,-3.17931
TH2,PM1,0,2,2065.55,-2.93699
TH2,PM1,0,2,2280.2,-2.6913
TH2,PM1,0,2,2517.6,-2.45091
TH2,PM1,0,2,2762.5,-2.23343
TH2,PM1,0,2,3042.7,-2.02024
TH2,PM1,0,2,3333.81,-1.83524
TH2,PM1,0,2,3668.93,-1.66423
TH2,PM1,0,2,4013.41,-1.53129
TH2,PM1,0,2,4410.81,-1.42399
TH2,PM1,0,2,4828.99,-1.34857
TH2,PM1,0,2,5278.8,-1.29301
TH2,PM1,0,2,5782.4,-1.24811
TH2,PM1,0,2,6321.64,-1.21206
TH2,PM1,0,2,6907.21,-1.18139
TH2,PM1,0,2,7558.3,-1.15369
TH2,PM1,0,2,8265.42,-1.12886
TH2,PM1,0,2,9031.07,-1.10623
TH2,PM1,0,2,9861.95,-1.08511
TH2,PM1,0,2,10768.6,-1.06509
TH2,PM1,0,2,11733.1,-1.04639
TH2,PM1,0,2,12778.8,-1.0284
TH2,PM1,0,2,13909.1,-1.01103
TH2,PM1,0,2,15165,-0.99368
TH2,PM1,0,2,16518.3,-0.97682
TH2,PM1,0,2,18000,-0.96009
TH2,PM1,0,2,19556.9,-0.9441
TH2,PM1,0,2,21275.6,-0.92789
TH2,PM1,0,2,22995.2,-0.91298
TH2,PM1,0,2,24723.3,-0.89906
TH2,PM1,0,2,26450.3,-0.88603
TH2,PM1,0,2,28205.1,-0.87357
TH2,PM1,0,2,29930.6,-0.86197
TH2,PM1,0,2,31656.2,-0.85093
TH2,PM1,0,2,33381.8,-0.84037
TH2,PM1,0,2,35137.2,-0.83008
TH2,PM1,0,2,36862.8,-0.82035
TH2,PM1,0,2,38588.4,-0.81096
TH2,PM1,0,2,40314.1,-0.80187
TH2,PM1,0,2,42069.4,-0.79291
TH2,PM1,0,2,43795,-0.78434
TH2,PM1,0,2,45520.7,-0.776
TH2,PM1,0,2,47246.3,-0.76786
TH2,PM1,0,2,49001.7,-0.75976
TH2,PM1,0,2,50727.3,-0.75197
TH2,PM1,0,2,52452.9,-0.74433
TH2,PM1,0,2,54178.5,-0.73683
TH2,PM1,0,2,55933.9,-0.72932
TH2,PM1,0,2,57659.5,-0.72206
TH2,PM1,0,2,59385.1,-0.7149
TH2,PM1,0,2,61110.7,-0.70783
TH2,PM1,0,2,62866.1,-0.70073
TH2,PM1,0,2,64591.7,-0.69383
TH2,PM1,0,2,66317.4,-0.68699
TH2,PM1,0,2,68043,-0.68021
TH2,PM1,0,2,69798.3,-0.67338
TH2,PM1,0,2,71524,-0.6667
TH2,PM1,0,2,73249.6,-0.66007
TH2,PM1,0,2,74975.2,-0.65347
TH2,PM1,0,2,76730.6,-0.64678
TH2,PM1,0,2,78456.2,-0.64023
TH2,PM1,0,2,80181.8,-0.6337
TH2,PM1,0,2,81907.4,-0.62718
TH2,PM1,0,2,83662.8,-0.62055
TH2,PM1,0,2,85388.4,-0.61403
TH2,PM1,0,2,87114.1,-0.6075
TH2,PM1,0,2,88839.7,-0.60096
TH2,PM1,0,2,90595,-0.59428
TH2,PM1,0,2,92320.7,-0.58769
TH2,PM1,0,2,94046.3,-0.58106
TH2,PM1,0,2,95771.9,-0.57439
TH2,PM1,0,2,97527.3,-0.56756
TH2,PM1,0,2,99252.9,-0.56078
TH2,PM1,0,2,100979,-0.55393
TH2,PM1,0,2,102704,-0.547
TH2,PM1,0,2,104460,-0.53986
TH2,PM1,0,2,106185,-0.53274
TH2,PM1,0,2,107911,-0.5255
TH2,PM1,0,2,109636,-0.51813
TH2,PM1,0,2,111392,-0.51047
TH2,PM1,0,2,113117,-0.50278
TH2,PM1,0,2,114843,-0.49488
TH2,PM1,0,2,116569,-0.48677
TH2,PM1,0,2,118324,-0.47825
TH2,PM1,0,2,120050,-0.46957
TH2,PM1,0,2,121775,-0.46055
TH2,PM1,0,2,123501,-0.45113
TH2,PM1,0,2,125256,-0.44105
TH2,PM1,0,2,126982,-0.43056
TH2,PM1,0,2,128707,-0.41937
TH2,PM1,0,2,130433,-0.4073
TH2,PM1,0,2,132188,-0.39387
TH2,PM1,0,2,133914,-0.37917
TH2,PM1,0,2,135640,-0.3624
TH2,PM1,0,2,137365,-0.34257
TH2,PM1,0,2,139121,-0.3172
TH2,PM1,0,2,140846,-0.28199
TH2,PM1,0,2,142572,-0.21291
TH2,PM1,0,2,144298,0.69334
TH2,PM1,0,2,146053,0.97595
TH2,PM1,0,2,147779,1.13934
TH2,PM1,0,2,149504,1.26027
TH2,PM1,0,2,151230,1.35767
TH2,PM1,0,2,152985,1.44111
TH2,PM1,0,2,154711,1.51225
TH2,PM1,0,2,156436,1.5753
TH2,PM1,0,2,158162,1.63203
TH2,PM1,0,2,159917,1.68451
TH2,PM1,0,2,161643,1.7319
TH2,PM1,0,2,163369,1.7758
TH2,PM1,0,2,165094,1.81674
TH2,PM1,0,2,166850,1.85578
TH2,PM1,0,2,168575,1.89196
TH2,PM1,0,2,170301,1.92623
TH2,PM1,0,2,172026,1.95882
TH2,PM1,0,2,173782,1.99044
TH2,PM1,0,2,175507,2.02021
TH2,PM1,0,2,177233,2.04879
TH2,PM1,0,2,178959,2.0763
TH2,PM1,0,2,180714,2.1033
TH2,PM1,0,2,182440,2.12896
TH2,PM1,0,2,184165,2.15382
TH2,PM1,0,2,185891,2.17794
TH2,PM1,0,2,187646,2.20179
TH2,PM1,0,2,189372,2.2246
TH2,PM1,0,2,191098,2.24683
TH2,PM1,0,2,192823,2.26852
TH2,PM1,0,2,194579,2.29006
TH2,PM1,0,2,196304,2.31076
TH2,PM1,0,2,198030,2.33101
TH2,PM1,0,2,199755,2.35083
TH2,PM1,0,2,201511,2.37059
TH2,PM1,0,2,203236,2.38963
TH2,PM1,0,2,204962,2.40831
TH2,PM1,0,2,206688,2.42665
TH2,PM1,0,2,208443,2.44496
TH2,PM1,0,2,210169,2.46264
TH2,PM1,0,2,211894,2.48003
TH2,PM1,0,2,213620,2.49712
TH2,PM1,0,2,215375,2.51422
TH2,PM1,0,2,217101,2.53076
TH2,PM1,0,2,218826,2.54704
TH2,PM1,0,2,220552,2.56307
TH2,PM1,0,2,222307,2.57912
TH2,PM1,0,2,224033,2.59467
TH2,PM1,0,2,225759,2.60999
TH2,PM1,0,2,227484,2.62509
TH2,PM1,0,2,229240,2.64023
TH2,PM1,0,2,230965,2.6549
TH2,PM1,0,2,232691,2.66937
TH2,PM1,0,2,234417,2.68364
TH2,PM1,0,2,236172,2.69795
TH2,PM1,0,2,237898,2.71184
TH2,PM1,0,2,239623,2.72554
TH2,PM1,0,2,241349,2.73907
TH2,PM1,0,2,243104,2.75265
TH2,PM1,0,2,244830,2.76582
TH2,PM1,0,2,246555,2.77883
TH2,PM1,0,2,248281,2.79168
TH2,PM1,0,2,250036,2.80458
TH2,PM1,0,2,251762,2.81711
TH2,PM1,0,2,253488,2.82949
TH2,PM1,0,2,255213,2.84171
TH2,PM1,0,2,256969,2.854
TH2,PM1,0,2,258694,2.86593
TH2,PM1,0,2,260420,2.87772
TH2,PM1,0,2,262145,2.88937
TH2,PM1,0,2,263901,2.90108
TH2,PM1,0,2,265626,2.91246
TH2,PM1,0,2,267352,2.92371
TH2,PM1,0,2,269078,2.93483
TH2,PM1,0,2,270833,2.94601
TH2,PM1,0,2,272559,2.95688
TH2,PM1,0,2,274284,2.96763
TH2,PM1,0,2,276010,2.97825
TH2,PM1,0,2,277765,2.98894
TH2,PM1,0,2,279491,2.99933
TH2,PM1,0,2,281217,3.0096
TH2,PM1,0,2,282942,3.01976
TH2,PM1,0,2,284698,3.02998
TH2,PM1,0,2,286423,3.03992
TH2,PM1,0,2,288149,3.04975
TH2,PM1,0,2,289874,3.05948
TH2,PM1,0,2,291630,3.06927
TH2,PM1,0,2,293355,3.07878
TH2,PM1,0,2,295081,3.0882
TH2,PM1,0,2,296807,3.09752
TH2,PM1,0,2,298562,3.1069
TH2,PM1,0,2,300288,3.11602
TH2,PM1,0,2,302013,3.12504
TH2,PM1,0,2,303739,3.13397
TH2,PM1,0,2,305494,3.14296
TH2,PM1,0,2,307220,3.1517
TH2,PM1,0,2,308945,3.16036
TH2,PM1,0,2,310671,3.16892
TH2,PM1,0,2,312426,3.17755
TH2,PM1,0,2,314152,3.18594
TH2,PM1,0,2,315878,3.19424
TH2,PM1,0,2,317603,3.20246
TH2,PM1,0,2,319359,3.21073
TH2,PM1,0,2,321084,3.21878
TH2,PM1,0,2,322810,3.22675
TH2,PM1,0,2,324536,3.23464
TH2,PM1,0,2,326291,3.24258
TH2,PM1,0,2,328017,3.25031
TH2,PM1,0,2,329742,3.25796
TH2,PM1,0,2,331468,3.26554
TH2,PM1,0,2,333223,3.27317
TH2,PM1,0,2,334949,3.28059
TH2,PM1,0,2,336674,3.28794
TH2,PM1,0,2,338400,3.29522
TH2,PM1,0,2,340155,3.30254
TH2,PM1,0,2,341881,3.30967
TH2,PM1,0,2,343607,3.31673
TH2,PM1,0,2,345332,3.32372
TH2,PM1,0,2,347088,3.33076
TH2,PM1,0,2,348813,3.33761
TH2,PM1,0,2,350539,3.3444
TH2,PM1,0,2,352264,3.35111
TH2,PM1,0,2,354020,3.35788
TH2,PM1,0,2,355745,3.36446
TH2,PM1,0,2,357471,3.37098
TH2,PM1,0,2,359197,3.37744
TH2,PM1,0,2,360952,3.38394
TH2,PM1,0,2,362678,3.39026
TH2,PM1,0,2,364403,3.39653
TH2,PM1,0,2,366129,3.40273
TH2,PM1,0,2,367884,3.40898
TH2,PM1,0,2,369610,3.41506
TH2,PM1,0,2,371336,3.42108
TH2,PM1,0,2,373061,3.42704
TH2,PM1,0,2,374817,3.43305
TH2,PM1,0,2,376542,3.43889
TH2,PM1,0,2,378268,3.44468
TH2,PM1,0,2,379993,3.45041
TH2,PM1,0,2,381749,3.45618
TH2,PM1,0,2,383474,3.4618
TH2,PM1,0,2,385200,3.46736
TH2,PM1,0,2,386926,3.47286
TH2,PM1,0,2,388681,3.47841
TH2,PM1,0,2,390407,3.48381
TH2,PM1,0,2,392132,3.48915
TH2,PM1,0,2,393858,3.49444
TH2,PM1,0,2,395613,3.49977
TH2,PM1,0,2,397339,3.50496
TH2,PM1,0,2,399064,3.51009
TH2,PM1,0,2,400790,3.51517
TH2,PM1,0,2,402545,3.52029
TH2,PM1,0,2,404271,3.52528
TH2,PM1,0,2,405997,3.53021
TH2,PM1,0,2,407722,3.53509
TH2,PM1,0,2,409478,3.54001
TH2,PM1,0,2,411203,3.54479
TH2,PM1,0,2,412929,3.54953
TH2,PM1,0,2,414655,3.55422
TH2,PM1,0,2,416410,3.55894
TH2,PM1,0,2,418136,3.56354
TH2,PM1,0,2,419861,3.56809
TH2,PM1,0,2,421587,3.57259
TH2,PM1,0,2,423342,3.57712
TH2,PM1,0,2,425068,3.58153
TH2,PM1,0,2,426793,3.5859
TH2,PM1,0,2,428519,3.59022
TH2,PM1,0,2,430274,3.59457
TH2,PM1,0,2,432000,3.5988
TH2,PM1,0,3,0,-5.06002
TH2,PM1,0,3,120,-5
TH2,PM1,0,3,300,-4.99834
TH2,PM1,0,3,420,-4.98298
TH2,PM1,0,3,600,-4.89859
TH2,PM1,0,3,720,-4.7945
TH2,PM1,0,3,900,-4.5805
TH2,PM1,0,3,1020,-4.41184
TH2,PM1,0,3,1140,-4.23166
TH2,PM1,0,3,1320,-3.95297
TH2,PM1,0,3,1440,-3.7679
TH2,PM1,0,3,1620,-3.49849
TH2,PM1,0,3,1740,-3.32686
TH2,PM1,0,3,1920,-3.08383
TH2,PM1,0,3,2040,-2.93208
TH2,PM1,0,3,2220,-2.72019
TH2,PM1,0,3,2340,-2.58927
TH2,PM1,0,3,2460,-2.46641
TH2,PM1,0,3,2640,-2.29663
TH2,PM1,0,3,2760,-2.19264
TH2,PM1,0,3,2940,-2.04965
TH2,PM1,0,3,3060,-1.96246
TH2,PM1,0,3,3240,-1.8431
TH2,PM1,0,3,3360,-1.77066
TH2,PM1,0,3,3480,-1.70357
TH2,PM1,0,3,4500,-1.3125
TH2,PM1,0,3,6300,-1.14015
TH2,PM1,0,3,9000,-1.07278
TH2,PM1,0,3,10800,-1.03698
TH2,PM1,0,3,13500,-0.994108
TH2,PM1,0,3,15300,-0.970392
TH2,PM1,0,3,17100,-0.949419
TH2,PM1,0,3,19800,-0.921759
TH2,PM1,0,3,21600,-0.905256
TH2,PM1,0,3,24300,-0.882715
TH2,PM1,0,3,26100,-0.868876
TH2,PM1,0,3,28800,-0.849554
TH2,PM1,0,3,30600,-0.837471
TH2,PM1,0,3,33300,-0.820335
TH2,PM1,0,3,35100,-0.809472
TH2,PM1,0,3,36900,-0.798995
TH2,PM1,0,3,39600,-0.783908
TH2,PM1,0,3,41400,-0.774213
TH2,PM1,0,3,44100,-0.760138
TH2,PM1,0,3,45900,-0.751025
TH2,PM1,0,3,48600,-0.737707
TH2,PM1,0,3,50400,-0.729031
TH2,PM1,0,3,52200,-0.720497
TH2,PM1,0,3,54900,-0.707929
TH2,PM1,0,3,56700,-0.699684
TH2,PM1,0,3,59400,-0.68748
TH2,PM1,0,3,61200,-0.679436
TH2,PM1,0,3,63900,-0.667478
TH2,PM1,0,3,65700,-0.659562
TH2,PM1,0,3,67500,-0.651679
TH2,PM1,0,3,70200,-0.639892
TH2,PM1,0,3,72000,-0.632043
TH2,PM1,0,3,74700,-0.620258
TH2,PM1,0,3,76500,-0.612377
TH2,PM1,0,3,79200,-0.60049
TH2,PM1,0,3,81000,-0.592504
TH2,PM1,0,3,83700,-0.5804
TH2,PM1,0,3,85500,-0.572226
TH2,PM1,0,3,87300,-0.563949
TH2,PM1,0,3,90000,-0.551299
TH2,PM1,0,3,91800,-0.54268
TH2,PM1,0,3,94500,-0.529409
TH2,PM1,0,3,96300,-0.520291
TH2,PM1,0,3,99000,-0.506114
TH2,PM1,0,3,100800,-0.496263
TH2,PM1,0,3,102600,-0.486026
TH2,PM1,0,3,105300,-0.469784
TH2,PM1,0,3,107100,-0.458217
