#,P2Date,H2,TP2
108,15/04/2022 16:45:00,-3.323076923,14.084
109,15/04/2022 17:00:00,-3.763313609,14.104
110,15/04/2022 17:15:00,-3.591715976,14.134
111,15/04/2022 17:30:00,-3.724852071,14.15
112,15/04/2022 17:45:00,-3.040828402,14.168
113,15/04/2022 18:00:00,-2.934911243,14.17
114,15/04/2022 18:15:00,-2.40887574,14.176
115,15/04/2022 18:30:00,-2.828994083,14.182
116,15/04/2022 18:45:00,-2.955029586,14.18
117,15/04/2022 19:00:00,-2.695857988,14.165
118,15/04/2022 19:15:00,-2.621301775,14.147
119,15/04/2022 19:30:00,-2.639053254,14.116
120,15/04/2022 19:45:00,-2.068047337,14.047
121,15/04/2022 20:00:00,-2.366272189,13.943
122,15/04/2022 20:15:00,-2.835502959,13.823
123,15/04/2022 20:30:00,-2.352662722,13.705
124,15/04/2022 20:45:00,-2.339053254,13.589
125,15/04/2022 21:00:00,-2.4,13.457
126,15/04/2022 21:15:00,-2.291715976,13.356
127,15/04/2022 21:30:00,-2.591715976,13.275
128,15/04/2022 21:45:00,-3.047928994,13.184
129,15/04/2022 22:00:00,-2.661538462,13.072
130,15/04/2022 22:15:00,-2.641420118,12.948
131,15/04/2022 22:30:00,-2.014201183,12.82
132,15/04/2022 22:45:00,-2.914792899,12.693
133,15/04/2022 23:00:00,-2.384023669,12.567
134,15/04/2022 23:15:00,-2.743195266,12.437
135,15/04/2022 23:30:00,-2.460946746,12.308
136,15/04/2022 23:45:00,-1.64852071,12.181
137,16/04/2022 00:00:00,-2.043195266,12.063
138,16/04/2022 00:15:00,-2.084023669,11.95
139,16/04/2022 00:30:00,-1.867455621,11.84
140,16/04/2022 00:45:00,-2.397633136,11.743
141,16/04/2022 01:00:00,-2.327810651,11.649
142,16/04/2022 01:15:00,-2.070414201,11.564
143,16/04/2022 01:30:00,-2.320710059,11.485
144,16/04/2022 01:45:00,-1.682248521,11.412
145,16/04/2022 02:00:00,-2.361538462,11.339
146,16/04/2022 02:15:00,-2.347928994,11.272
147,16/04/2022 02:30:00,-2.070414201,11.203
148,16/04/2022 02:45:00,-1.896449704,11.139
149,16/04/2022 03:00:00,-2.015976331,11.073
150,16/04/2022 03:15:00,-2.185207101,11.014
151,16/04/2022 03:30:00,-2.230769231,10.959
152,16/04/2022 03:45:00,-1.469822485,10.904
153,16/04/2022 04:00:00,-1.837869822,10.849
154,16/04/2022 04:15:00,-1.921301775,10.797
155,16/04/2022 04:30:00,-2.395266272,10.747
156,16/04/2022 04:45:00,-2.460946746,10.701
157,16/04/2022 05:00:00,-1.585207101,10.654
158,16/04/2022 05:15:00,-2.269230769,10.608
159,16/04/2022 05:30:00,-1.93964497,10.566
160,16/04/2022 05:45:00,-1.937278107,10.527
161,16/04/2022 06:00:00,-2.50591716,10.495
162,16/04/2022 06:15:00,-2.056804734,10.473
163,16/04/2022 06:30:00,-1.743195266,10.462
164,16/04/2022 06:45:00,-1.314201183,10.462
165,16/04/2022 07:00:00,-1.663905325,10.47
166,16/04/2022 07:15:00,-1.898816568,10.493
167,16/04/2022 07:30:00,-1.740828402,10.525
168,16/04/2022 07:45:00,-1.966272189,10.573
169,16/04/2022 08:00:00,-1.722485207,10.631
170,16/04/2022 08:15:00,-1.912426036,10.704
171,16/04/2022 08:30:00,-1.857988166,10.788
172,16/04/2022 08:45:00,-2.135502959,10.883
173,16/04/2022 09:00:00,-2.196449704,10.983
174,16/04/2022 09:15:00,-1.928402367,11.087
175,16/04/2022 09:30:00,-1.959763314,11.193
176,16/04/2022 09:45:00,-2.007100592,11.295
177,16/04/2022 10:00:00,-2.411242604,11.405
178,16/04/2022 10:15:00,-1.729585799,11.526
179,16/04/2022 10:30:00,-2.16035503,11.654
180,16/04/2022 10:45:00,-2.280473373,11.787
181,16/04/2022 11:00:00,-2.48816568,11.919
182,16/04/2022 11:15:00,-1.962130178,12.056
183,16/04/2022 11:30:00,-2.162721893,12.195
184,16/04/2022 11:45:00,-2.695857988,12.334
185,16/04/2022 12:00:00,-1.855621302,12.474
186,16/04/2022 12:15:00,-2.659763314,12.61
187,16/04/2022 12:30:00,-2.212426036,12.752
188,16/04/2022 12:45:00,-1.86035503,12.888
189,16/04/2022 13:00:00,-2.528402367,13.031
190,16/04/2022 13:15:00,-2.679881657,13.16
191,16/04/2022 13:30:00,-2.192307692,13.294
192,16/04/2022 13:45:00,-2.428994083,13.422
193,16/04/2022 14:00:00,-2.074556213,13.548
194,16/04/2022 14:15:00,-1.682248521,13.658
195,16/04/2022 14:30:00,-1.650295858,13.762
196,16/04/2022 14:45:00,-2.320710059,13.846
197,16/04/2022 15:00:00,-2.090532544,13.922
198,16/04/2022 15:15:00,-2.833136095,13.993
199,16/04/2022 15:30:00,-2.104142012,14.051
200,16/04/2022 15:45:00,-2.007100592,14.111
201,16/04/2022 16:00:00,-2.397633136,14.167
202,16/04/2022 16:15:00,-2.458579882,14.208
203,16/04/2022 16:30:00,-2.230769231,14.235
204,16/04/2022 16:45:00,-2.101775148,14.247
205,16/04/2022 17:00:00,-2.40887574,14.244
206,16/04/2022 17:15:00,-2.289349112,14.226
207,16/04/2022 17:30:00,-2.018343195,14.195
208,16/04/2022 17:45:00,-2.586982249,14.155
209,16/04/2022 18:00:00,-2.368047337,14.107
210,16/04/2022 18:15:00,-1.943786982,14.053
211,16/04/2022 18:30:00,-2.627810651,13.99
212,16/04/2022 18:45:00,-2.424852071,13.915
213,16/04/2022 19:00:00,-1.876331361,13.832
214,16/04/2022 19:15:00,-2.769822485,13.742
215,16/04/2022 19:30:00,-2.542011834,13.638
216,16/04/2022 19:45:00,-2.189940828,13.535
217,16/04/2022 20:00:00,-1.722485207,13.433
218,16/04/2022 20:15:00,-2.905325444,13.323
219,16/04/2022 20:30:00,-2.099408284,13.206
220,16/04/2022 20:45:00,-2.359171598,13.079
221,16/04/2022 21:00:00,-2.156213018,12.953
222,16/04/2022 21:15:00,-1.824260355,12.828
223,16/04/2022 21:30:00,-1.106508876,12.701
224,16/04/2022 21:45:00,-2.738461538,12.577
225,16/04/2022 22:00:00,-1.85147929,12.453
226,16/04/2022 22:15:00,-3.099408284,12.331
227,16/04/2022 22:30:00,-2.661538462,12.208
228,16/04/2022 22:45:00,-2.375147929,12.093
229,16/04/2022 23:00:00,-2.16035503,11.98
230,16/04/2022 23:15:00,-2.203550296,11.871
231,16/04/2022 23:30:00,-2.289349112,11.766
232,16/04/2022 23:45:00,-0.986982249,11.666
233,17/04/2022 00:00:00,-1.953254438,11.566
234,17/04/2022 00:15:00,-2.061538462,11.472
235,17/04/2022 00:30:00,-1.707100592,11.377
236,17/04/2022 00:45:00,-2.237278107,11.292
237,17/04/2022 01:00:00,-2.122485207,11.209
238,17/04/2022 01:15:00,-2.183431953,11.132
239,17/04/2022 01:30:00,-1.406508876,11.058
240,17/04/2022 01:45:00,-1.160946746,10.986
241,17/04/2022 02:00:00,-2.047928994,10.916
242,17/04/2022 02:15:00,-1.381656805,10.849
243,17/04/2022 02:30:00,-2.34556213,10.777
244,17/04/2022 02:45:00,-2.422485207,10.707
245,17/04/2022 03:00:00,-1.781656805,10.638
246,17/04/2022 03:15:00,-1.779289941,10.571
247,17/04/2022 03:30:00,-1.907692308,10.502
248,17/04/2022 03:45:00,-2.133727811,10.436
249,17/04/2022 04:00:00,-1.521893491,10.374
250,17/04/2022 04:15:00,-1.219526627,10.309
251,17/04/2022 04:30:00,-2.198816568,10.247
252,17/04/2022 04:45:00,-2.023076923,10.191
253,17/04/2022 05:00:00,-1.217159763,10.139
254,17/04/2022 05:15:00,-1.379881657,10.084
255,17/04/2022 05:30:00,-2.44260355,10.029
256,17/04/2022 05:45:00,-1.729585799,9.977
257,17/04/2022 06:00:00,-1.286982249,9.927
258,17/04/2022 06:15:00,-1.995857988,9.888
259,17/04/2022 06:30:00,-2.076923077,9.866
260,17/04/2022 06:45:00,-0.914792899,9.854
261,17/04/2022 07:00:00,-1.74556213,9.851
