#,dates,pressure_differential_m,temperature_stream_C
107,06/04/2017 20:30:00,-0.045049264,10.436
108,06/04/2017 20:45:00,-0.04475474,10.355
109,06/04/2017 21:00:00,-0.045488219,10.273
110,06/04/2017 21:15:00,-0.045706109,10.187
111,06/04/2017 21:30:00,-0.045646764,10.106
112,06/04/2017 21:45:00,-0.045305651,10.02
113,06/04/2017 22:00:00,-0.04562756,9.932
114,06/04/2017 22:15:00,-0.045852685,9.846
115,06/04/2017 22:30:00,-0.045594338,9.761
116,06/04/2017 22:45:00,-0.046106645,9.668
117,06/04/2017 23:00:00,-0.045656081,9.58
118,06/04/2017 23:15:00,-0.046490859,9.49
119,06/04/2017 23:30:00,-0.046631414,9.407
120,06/04/2017 23:45:00,-0.045983651,9.311
121,07/04/2017 00:00:00,-0.046624407,9.222
122,07/04/2017 00:15:00,-0.047004652,9.129
123,07/04/2017 00:30:00,-0.046668971,9.047
124,07/04/2017 00:45:00,-0.046233782,8.957
125,07/04/2017 01:00:00,-0.047002084,8.874
126,07/04/2017 01:15:00,-0.046878525,8.799
127,07/04/2017 01:30:00,-0.04715251,8.725
128,07/04/2017 01:45:00,-0.047331516,8.649
129,07/04/2017 02:00:00,-0.047288463,8.576
130,07/04/2017 02:15:00,-0.046689114,8.497
131,07/04/2017 02:30:00,-0.046962652,8.428
132,07/04/2017 02:45:00,-0.047130363,8.361
133,07/04/2017 03:00:00,-0.047402097,8.296
134,07/04/2017 03:15:00,-0.047473927,8.229
135,07/04/2017 03:30:00,-0.047784559,8.166
136,07/04/2017 03:45:00,-0.047263465,8.098
137,07/04/2017 04:00:00,-0.047429823,8.034
138,07/04/2017 04:15:00,-0.047421612,7.976
139,07/04/2017 04:30:00,-0.047965619,7.917
140,07/04/2017 04:45:00,-0.048132898,7.867
141,07/04/2017 05:00:00,-0.047858312,7.818
142,07/04/2017 05:15:00,-0.048305085,7.762
143,07/04/2017 05:30:00,-0.047680438,7.707
144,07/04/2017 05:45:00,-0.047957619,7.658
145,07/04/2017 06:00:00,-0.048095506,7.613
146,07/04/2017 06:15:00,-0.047734095,7.572
147,07/04/2017 06:30:00,-0.047470825,7.53
148,07/04/2017 06:45:00,-0.047733102,7.498
149,07/04/2017 07:00:00,-0.047109395,7.473
150,07/04/2017 07:15:00,-0.047969581,7.451
151,07/04/2017 07:30:00,-0.048016151,7.44
152,07/04/2017 07:45:00,-0.04832007,7.436
153,07/04/2017 08:00:00,-0.047708619,7.448
154,07/04/2017 08:15:00,-0.047325125,7.472
155,07/04/2017 08:30:00,-0.046409784,7.512
156,07/04/2017 08:45:00,-0.045946269,7.561
157,07/04/2017 09:00:00,-0.046450165,7.619
158,07/04/2017 09:15:00,-0.045570588,7.688
159,07/04/2017 09:30:00,-0.044922581,7.765
160,07/04/2017 09:45:00,-0.04400547,7.837
161,07/04/2017 10:00:00,-0.043354757,7.92
