x0x23,dates,pressure_differential_m,temperature_stream_C
1,12/05/2021 17:00:00,0.00543179567471283,14.9588759035277
2,12/05/2021 17:15:00,0.00622190529297108,14.9258982766905
3,12/05/2021 17:30:00,0.00817483077316006,14.8600706397422
4,12/05/2021 17:45:00,0.0111575638791168,14.7593311109519
5,12/05/2021 18:00:00,0.0135442547848126,14.639799253463
6,12/05/2021 18:15:00,0.0144336101320061,14.5098556433547
7,12/05/2021 18:30:00,0.0145879019596281,14.37166201077
8,12/05/2021 18:45:00,0.0138054125565053,14.2399696216864
9,12/05/2021 19:00:00,0.011825045418171,14.1274530240565
10,12/05/2021 19:15:00,0.00931716895533785,14.0384065876577
11,12/05/2021 19:30:00,0.00666315450119723,13.9690574702784
12,12/05/2021 19:45:00,0.00405875645108794,13.9119344070579
13,12/05/2021 20:00:00,0.00184381089009592,13.8591745703112
14,12/05/2021 20:15:00,0.000296456766607882,13.8042290589957
15,12/05/2021 20:30:00,-0.000893676942186936,13.7466337215544
16,12/05/2021 20:45:00,-0.00243645103164031,13.6895660860005
17,12/05/2021 21:00:00,-0.00449312378853845,13.6320423983101
18,12/05/2021 21:15:00,-0.00675321509060023,13.5704117287275
19,12/05/2021 21:30:00,-0.00912984155401579,13.5025227015735
20,12/05/2021 21:45:00,-0.0117456170208025,13.4306337215544
21,12/05/2021 22:00:00,-0.0151263825524024,13.3595448868455
22,12/05/2021 22:15:00,-0.0181846082292855,13.2903531787111
23,12/05/2021 22:30:00,-0.020042382895671,13.222
24,12/05/2021 22:45:00,-0.0210069562387741,13.1525570475979
25,12/05/2021 23:00:00,-0.0215867377126741,13.0784813126234
26,12/05/2021 23:15:00,-0.0220498979016671,12.9991221242384
27,12/05/2021 23:30:00,-0.0227774119906271,12.9212633346422
28,12/05/2021 23:45:00,-0.0233080522527006,12.8504580947484
29,13/05/2021 00:00:00,-0.0231645757823873,12.7885388300367
30,13/05/2021 00:15:00,-0.0227232890850156,12.7344147103214
31,13/05/2021 00:30:00,-0.0222473818536561,12.6849243121604
32,13/05/2021 00:45:00,-0.0216112004311841,12.637978800845
33,13/05/2021 01:00:00,-0.0207322958802388,12.5930595361333
34,13/05/2021 01:15:00,-0.019770157563683,12.5494026199469
35,13/05/2021 01:30:00,-0.0186580983292162,12.5055378439198
36,13/05/2021 01:45:00,-0.0177917723657292,12.4616538642146
37,13/05/2021 02:00:00,-0.0172878199850649,12.4203733685061
38,13/05/2021 02:15:00,-0.017105445125927,12.3830776833165
39,13/05/2021 02:30:00,-0.016945699094005,12.3462603530483
40,13/05/2021 02:45:00,-0.0166543987014463,12.3072391538932
41,13/05/2021 03:00:00,-0.0164524451301508,12.2666781153415
42,13/05/2021 03:15:00,-0.0164714451265908,12.2264328575046
43,13/05/2021 03:30:00,-0.0167687810440671,12.1894924407727
44,13/05/2021 03:45:00,-0.0168081643551025,12.1584621560802
45,13/05/2021 04:00:00,-0.0165213586639382,12.127669029804
46,13/05/2021 04:15:00,-0.0162452386179321,12.0899283734922
47,13/05/2021 04:30:00,-0.0163340999800378,12.046955606213
48,13/05/2021 04:45:00,-0.017013823676286,12.0051210677436
49,13/05/2021 05:00:00,-0.0177289894472503,11.9680716265078
50,13/05/2021 05:15:00,-0.0181133137097725,11.9372350925614
51,13/05/2021 05:30:00,-0.0186559944045567,11.9132350925614
52,13/05/2021 05:45:00,-0.0195888267048211,11.8962350925614
53,13/05/2021 06:00:00,-0.0207538292668241,11.8860171378232
54,13/05/2021 06:15:00,-0.0221997988664832,11.8823672645625
55,13/05/2021 06:30:00,-0.0238913917617756,11.8869303457261
56,13/05/2021 06:45:00,-0.0258504108486795,11.9045054701293
57,13/05/2021 07:00:00,-0.0271942662843246,11.9398486010777
58,13/05/2021 07:15:00,-0.027866992760025,11.9949030426274
59,13/05/2021 07:30:00,-0.0286338487311557,12.0670443705439
60,13/05/2021 07:45:00,-0.0293740111525673,12.15277798393
61,13/05/2021 08:00:00,-0.0296765165979106,12.2470009389821
62,13/05/2021 08:15:00,-0.029693561296182,12.3464965492394
63,13/05/2021 08:30:00,-0.0293811244142046,12.4418719829518
64,13/05/2021 08:45:00,-0.0289858839911505,12.5110916038716
65,13/05/2021 09:00:00,-0.0290339425193502,12.5623404089207
66,13/05/2021 09:15:00,-0.0277999929458269,12.6305889513372
67,13/05/2021 09:30:00,-0.0251668859509498,12.7166951595436
68,13/05/2021 09:45:00,-0.0250951967680468,12.8401463295278
69,13/05/2021 10:00:00,-0.026851679628037,13.0089626252469
70,13/05/2021 10:15:00,-0.0274331979279385,13.169500538896
71,13/05/2021 10:30:00,-0.0271884421098384,13.2899182553516
72,13/05/2021 10:45:00,-0.0291625848830959,13.4057560814672
73,13/05/2021 11:00:00,-0.0322131983399332,13.5301732542502
74,13/05/2021 11:15:00,-0.0336216603322975,13.6293050289958
75,13/05/2021 11:30:00,-0.0337236799988414,13.7171693117286
76,13/05/2021 11:45:00,-0.0338180766200519,13.8274984982302
77,13/05/2021 12:00:00,-0.0343096540101332,13.9683713258943
78,13/05/2021 12:15:00,-0.0343623580787676,14.1047216398757
79,13/05/2021 12:30:00,-0.0340582617411019,14.2028273070043
80,13/05/2021 12:45:00,-0.0337153795417452,14.2807894181315
81,13/05/2021 13:00:00,-0.0328177943566292,14.3756302931524
82,13/05/2021 13:15:00,-0.0318969723078802,14.4823301254837
83,13/05/2021 13:30:00,-0.0316465828729044,14.6000928256628
84,13/05/2021 13:45:00,-0.0319552715592776,14.7151221235898
85,13/05/2021 14:00:00,-0.0323657243810545,14.8047165459408
