x0x23,dates,pressure_differential_m,temperature_stream_C
1,12/05/2021 17:00:00,-0.00893630395891984,14.9810524693158
2,12/05/2021 17:15:00,-0.00877360183081485,14.9451081791429
3,12/05/2021 17:30:00,-0.00725995725742127,14.87918466456
4,12/05/2021 17:45:00,-0.00468801718127573,14.7796378532642
5,12/05/2021 18:00:00,-0.00478855172864897,14.6596721289106
6,12/05/2021 18:15:00,-0.00760756028185991,14.5294812654886
7,12/05/2021 18:30:00,-0.0080395444138004,14.3922825854551
8,12/05/2021 18:45:00,-0.00454305657950868,14.2624630718192
9,12/05/2021 19:00:00,-0.00303214313240006,14.1524479766078
10,12/05/2021 19:15:00,-0.00388026218019935,14.0648304067596
11,12/05/2021 19:30:00,-0.00452187603588185,13.9947850268557
12,12/05/2021 19:45:00,-0.00420398775947987,13.9359626491387
13,12/05/2021 20:00:00,-0.00352899549709563,13.882156423128
14,12/05/2021 20:15:00,-0.00282998954460491,13.8272209595752
15,12/05/2021 20:30:00,-0.00326501889128345,13.7698597757132
16,12/05/2021 20:45:00,-0.00368163806653707,13.7141059253973
17,12/05/2021 21:00:00,-0.00136778578677905,13.6587205136516
18,12/05/2021 21:15:00,0.000540318268664436,13.5989990138831
19,12/05/2021 21:30:00,-0.000482693430475505,13.5314086767557
20,12/05/2021 21:45:00,-0.00124046210505252,13.4585297916341
21,12/05/2021 22:00:00,-0.00186187030831624,13.3865448868455
22,12/05/2021 22:15:00,-0.00204038596834687,13.3165660860005
23,12/05/2021 22:30:00,-0.00204604890550453,13.2476569161864
24,12/05/2021 22:45:00,-0.00264405029628868,13.1790192036781
25,12/05/2021 23:00:00,-0.00239884189125265,13.1063672878056
26,12/05/2021 23:15:00,-0.000109469896715198,13.0272523007626
27,12/05/2021 23:30:00,0.000804703039075937,12.9482088459576
28,12/05/2021 23:45:00,-0.00106171221194384,12.8759202508286
29,13/05/2021 00:00:00,-0.00352137633339441,12.8131906987744
30,13/05/2021 00:15:00,-0.00490593422780168,12.7591442623755
31,13/05/2021 00:30:00,-0.00515979877715354,12.7106619636352
32,13/05/2021 00:45:00,-0.00511244871395127,12.6655398393967
33,13/05/2021 01:00:00,-0.00533114505726365,12.6217870927106
34,13/05/2021 01:15:00,-0.00470812093307686,12.5784026199469
35,13/05/2021 01:30:00,-0.00285950835517155,12.5346468212889
36,13/05/2021 01:45:00,-0.000308363120584491,12.4913057329523
37,13/05/2021 02:00:00,0.000570057342529391,12.451020189795
38,13/05/2021 02:15:00,0.000760215659191392,12.4144258145789
39,13/05/2021 02:30:00,-0.00141445707607248,12.3776942670477
40,13/05/2021 02:45:00,-0.00440793899200704,12.3383975724981
41,13/05/2021 03:00:00,-0.00648167901137665,12.2972754953946
42,13/05/2021 03:15:00,-0.00571459057359451,12.2570039909539
43,13/05/2021 03:30:00,-0.00213994278279732,12.2209263547722
44,13/05/2021 03:45:00,-0.000301238590473639,12.1906155272363
45,13/05/2021 04:00:00,-0.0011048575961418,12.1594561225145
46,13/05/2021 04:15:00,-0.00129642039544411,12.1213360408879
47,13/05/2021 04:30:00,-0.00211420089448806,12.078467203529
48,13/05/2021 04:45:00,-0.00577382909895146,12.0368536717696
49,13/05/2021 05:00:00,-0.00892420377807347,11.9999858437707
50,13/05/2021 05:15:00,-0.00697903838193376,11.9689676965874
51,13/05/2021 05:30:00,-0.00574000861328441,11.9446922011929
52,13/05/2021 05:45:00,-0.008122915921356,11.9271261151923
53,13/05/2021 06:00:00,-0.0092893738281884,11.9161261151923
54,13/05/2021 06:15:00,-0.00660260425993241,11.9120191333002
55,13/05/2021 06:30:00,-0.00440348268553773,11.9163047235922
56,13/05/2021 06:45:00,-0.00292866281909216,11.9320332191515
57,13/05/2021 07:00:00,-0.00198096315727157,11.9630383137352
58,13/05/2021 07:15:00,-0.00198332306612391,12.0137516669482
59,13/05/2021 07:30:00,-0.00114503821680004,12.0864237254809
60,13/05/2021 07:45:00,-0.000520678816018055,12.1820918634377
61,13/05/2021 08:00:00,-0.00262539406011254,12.2911865664159
62,13/05/2021 08:15:00,-0.00510922720802915,12.3970364590141
63,13/05/2021 08:30:00,-0.00494526448759558,12.4899628131377
64,13/05/2021 08:45:00,-0.00308224051282126,12.5563166015355
65,13/05/2021 09:00:00,-0.00325941369713224,12.6096632796961
66,13/05/2021 09:15:00,-0.00566762829736651,12.685655647909
67,13/05/2021 09:30:00,-0.00571398757927113,12.7758706449451
68,13/05/2021 09:45:00,-0.00381089219335632,12.8925691864046
69,13/05/2021 10:00:00,-0.00238004632975263,13.0599495022693
70,13/05/2021 10:15:00,-1.50020058084163e-05,13.2286095395082
71,13/05/2021 10:30:00,0.000740799608111214,13.3489555119432
72,13/05/2021 10:45:00,-0.000647418383478928,13.4542951232864
73,13/05/2021 11:00:00,-0.00207895440859943,13.5740609427488
74,13/05/2021 11:15:00,-0.00324423323520778,13.676839188014
75,13/05/2021 11:30:00,-0.00544196314433497,13.770268850373
76,13/05/2021 11:45:00,-0.00518674044366464,13.8720225623509
77,13/05/2021 12:00:00,-0.00273007398505467,14.0032762225941
78,13/05/2021 12:15:00,-0.00205049661009063,14.1348095123595
79,13/05/2021 12:30:00,-0.00308901683698003,14.2383116483564
80,13/05/2021 12:45:00,-0.00313046939133232,14.3263877604098
81,13/05/2021 13:00:00,-0.00190483378757205,14.4245446279281
82,13/05/2021 13:15:00,-0.000565693870785181,14.5267841350085
83,13/05/2021 13:30:00,-0.000158981433227637,14.6375701712241
84,13/05/2021 13:45:00,0.000513604260450339,14.7514560986227
