x0x23,dates,temperature_depth_1_C,temperature_depth_2_C,temperature_depth_3_C,temperature_depth_4_C
1,12/05/2021 17:00:00,14.369,13.754,13.293,13.359
2,12/05/2021 17:15:00,14.358,13.777,13.311,13.377
3,12/05/2021 17:30:00,14.345,13.796,13.327,13.394
4,12/05/2021 17:45:00,14.328,13.813,13.344,13.412
5,12/05/2021 18:00:00,14.304,13.825,13.36,13.428
6,12/05/2021 18:15:00,14.276,13.835,13.376,13.445
7,12/05/2021 18:30:00,14.24,13.843,13.391,13.46
8,12/05/2021 18:45:00,14.2,13.847,13.404,13.472
9,12/05/2021 19:00:00,14.152,13.849,13.416,13.484
10,12/05/2021 19:15:00,14.102,13.846,13.427,13.494
11,12/05/2021 19:30:00,14.056,13.841,13.437,13.503
12,12/05/2021 19:45:00,14.011,13.832,13.445,13.511
13,12/05/2021 20:00:00,13.969,13.822,13.451,13.515
14,12/05/2021 20:15:00,13.931,13.81,13.457,13.52
15,12/05/2021 20:30:00,13.894,13.796,13.46,13.521
16,12/05/2021 20:45:00,13.858,13.781,13.463,13.521
17,12/05/2021 21:00:00,13.822,13.766,13.463,13.52
18,12/05/2021 21:15:00,13.787,13.751,13.463,13.517
19,12/05/2021 21:30:00,13.753,13.733,13.461,13.512
20,12/05/2021 21:45:00,13.717,13.717,13.458,13.506
21,12/05/2021 22:00:00,13.682,13.699,13.455,13.5
22,12/05/2021 22:15:00,13.643,13.681,13.451,13.493
23,12/05/2021 22:30:00,13.599,13.661,13.446,13.484
24,12/05/2021 22:45:00,13.554,13.64,13.44,13.475
25,12/05/2021 23:00:00,13.512,13.619,13.433,13.466
26,12/05/2021 23:15:00,13.47,13.596,13.425,13.455
27,12/05/2021 23:30:00,13.427,13.574,13.418,13.443
28,12/05/2021 23:45:00,13.38,13.55,13.409,13.433
29,13/05/2021 00:00:00,13.333,13.526,13.398,13.421
30,13/05/2021 00:15:00,13.287,13.5,13.388,13.407
31,13/05/2021 00:30:00,13.243,13.473,13.376,13.394
32,13/05/2021 00:45:00,13.201,13.446,13.364,13.38
33,13/05/2021 01:00:00,13.163,13.419,13.351,13.367
34,13/05/2021 01:15:00,13.127,13.392,13.338,13.351
35,13/05/2021 01:30:00,13.093,13.367,13.323,13.336
36,13/05/2021 01:45:00,13.058,13.339,13.309,13.321
37,13/05/2021 02:00:00,13.025,13.312,13.294,13.305
38,13/05/2021 02:15:00,12.987,13.285,13.279,13.288
39,13/05/2021 02:30:00,12.953,13.26,13.263,13.272
40,13/05/2021 02:45:00,12.915,13.233,13.248,13.255
41,13/05/2021 03:00:00,12.879,13.207,13.231,13.237
42,13/05/2021 03:15:00,12.846,13.18,13.215,13.219
43,13/05/2021 03:30:00,12.812,13.154,13.198,13.201
44,13/05/2021 03:45:00,12.781,13.127,13.18,13.183
45,13/05/2021 04:00:00,12.746,13.102,13.163,13.165
46,13/05/2021 04:15:00,12.714,13.076,13.147,13.147
47,13/05/2021 04:30:00,12.683,13.051,13.129,13.129
48,13/05/2021 04:45:00,12.651,13.025,13.111,13.109
49,13/05/2021 05:00:00,12.619,12.999,13.093,13.091
50,13/05/2021 05:15:00,12.586,12.974,13.076,13.072
51,13/05/2021 05:30:00,12.554,12.948,13.058,13.052
52,13/05/2021 05:45:00,12.526,12.922,13.04,13.032
53,13/05/2021 06:00:00,12.502,12.897,13.022,13.013
54,13/05/2021 06:15:00,12.471,12.871,13.004,12.993
55,13/05/2021 06:30:00,12.447,12.847,12.986,12.974
56,13/05/2021 06:45:00,12.42,12.823,12.966,12.954
57,13/05/2021 07:00:00,12.394,12.799,12.948,12.933
58,13/05/2021 07:15:00,12.373,12.775,12.93,12.913
59,13/05/2021 07:30:00,12.358,12.752,12.912,12.894
60,13/05/2021 07:45:00,12.351,12.731,12.894,12.876
61,13/05/2021 08:00:00,12.354,12.711,12.876,12.856
62,13/05/2021 08:15:00,12.372,12.693,12.858,12.838
63,13/05/2021 08:30:00,12.393,12.68,12.841,12.821
64,13/05/2021 08:45:00,12.422,12.669,12.825,12.803
65,13/05/2021 09:00:00,12.452,12.662,12.808,12.788
66,13/05/2021 09:15:00,12.477,12.657,12.794,12.773
67,13/05/2021 09:30:00,12.506,12.656,12.781,12.76
68,13/05/2021 09:45:00,12.539,12.656,12.769,12.746
69,13/05/2021 10:00:00,12.574,12.657,12.757,12.736
70,13/05/2021 10:15:00,12.615,12.662,12.748,12.725
71,13/05/2021 10:30:00,12.674,12.669,12.739,12.716
72,13/05/2021 10:45:00,12.731,12.678,12.731,12.708
73,13/05/2021 11:00:00,12.781,12.692,12.725,12.702
74,13/05/2021 11:15:00,12.84,12.708,12.722,12.698
75,13/05/2021 11:30:00,12.9,12.726,12.719,12.695
76,13/05/2021 11:45:00,12.96,12.748,12.717,12.693
77,13/05/2021 12:00:00,13.014,12.77,12.717,12.693
78,13/05/2021 12:15:00,13.078,12.794,12.719,12.695
79,13/05/2021 12:30:00,13.145,12.82,12.723,12.698
80,13/05/2021 12:45:00,13.213,12.847,12.728,12.702
81,13/05/2021 13:00:00,13.275,12.877,12.734,12.708
82,13/05/2021 13:15:00,13.339,12.909,12.742,12.717
83,13/05/2021 13:30:00,13.406,12.941,12.751,12.725
84,13/05/2021 13:45:00,13.469,12.975,12.761,12.736
85,13/05/2021 14:00:00,13.542,13.01,12.773,12.748
86,13/05/2021 14:15:00,13.613,13.046,12.787,12.76
87,13/05/2021 14:30:00,13.678,13.084,12.8,12.773
88,13/05/2021 14:45:00,13.736,13.123,12.817,12.788
89,13/05/2021 15:00:00,13.793,13.162,12.832,12.805
90,13/05/2021 15:15:00,13.832,13.2,12.85,12.821
91,13/05/2021 15:30:00,13.859,13.237,12.868,12.84
92,13/05/2021 15:45:00,13.877,13.272,12.888,12.858
93,13/05/2021 16:00:00,13.897,13.303,12.907,12.877
94,13/05/2021 16:15:00,13.922,13.332,12.927,12.897
95,13/05/2021 16:30:00,13.943,13.359,12.947,12.916
96,13/05/2021 16:45:00,13.954,13.385,12.966,12.935
97,13/05/2021 17:00:00,13.955,13.41,12.986,12.954
98,13/05/2021 17:15:00,13.948,13.431,13.004,12.972
99,13/05/2021 17:30:00,13.937,13.449,13.022,12.99
100,13/05/2021 17:45:00,13.927,13.464,13.04,13.007
101,13/05/2021 18:00:00,13.913,13.478,13.057,13.025
102,13/05/2021 18:15:00,13.9,13.488,13.073,13.04
103,13/05/2021 18:30:00,13.879,13.496,13.087,13.055
104,13/05/2021 18:45:00,13.858,13.503,13.102,13.069
105,13/05/2021 19:00:00,13.834,13.506,13.114,13.082
106,13/05/2021 19:15:00,13.81,13.509,13.126,13.094
107,13/05/2021 19:30:00,13.783,13.509,13.136,13.105
108,13/05/2021 19:45:00,13.756,13.508,13.145,13.114
109,13/05/2021 20:00:00,13.724,13.505,13.153,13.123
110,13/05/2021 20:15:00,13.693,13.5,13.16,13.13
111,13/05/2021 20:30:00,13.66,13.494,13.166,13.136
112,13/05/2021 20:45:00,13.626,13.485,13.171,13.142
113,13/05/2021 21:00:00,13.592,13.476,13.175,13.147
114,13/05/2021 21:15:00,13.557,13.466,13.178,13.15
115,13/05/2021 21:30:00,13.523,13.454,13.18,13.153
116,13/05/2021 21:45:00,13.49,13.44,13.181,13.153
117,13/05/2021 22:00:00,13.457,13.427,13.18,13.153
118,13/05/2021 22:15:00,13.425,13.412,13.18,13.153
119,13/05/2021 22:30:00,13.395,13.397,13.177,13.151
