#,dates,pressure_differential_m,temperature_stream_C
107,12/07/2017 17:15:00,-0.679912287,17.082
108,12/07/2017 17:30:00,-0.679912287,17.082
109,12/07/2017 17:45:00,-0.679912287,17.082
110,12/07/2017 18:00:00,-0.684531359,17.106
111,12/07/2017 18:15:00,-0.68492427,17.082
112,12/07/2017 18:30:00,-0.684090079,17.082
113,12/07/2017 18:45:00,-0.684507174,17.082
114,12/07/2017 19:00:00,-0.685341365,17.082
115,12/07/2017 19:15:00,-0.68492427,17.082
116,12/07/2017 19:30:00,-0.68448299,17.058
117,12/07/2017 19:45:00,-0.68448299,17.058
118,12/07/2017 20:00:00,-0.684900085,17.058
119,12/07/2017 20:15:00,-0.684458805,17.034
120,12/07/2017 20:30:00,-0.68404171,17.034
121,12/07/2017 20:45:00,-0.684435628,17.011
122,12/07/2017 21:00:00,-0.684411444,16.987
123,12/07/2017 21:15:00,-0.684804355,16.963
124,12/07/2017 21:30:00,-0.685197266,16.939
125,12/07/2017 21:45:00,-0.685984096,16.892
126,12/07/2017 22:00:00,-0.685959911,16.868
127,12/07/2017 22:15:00,-0.686328638,16.82
128,12/07/2017 22:30:00,-0.686698372,16.773
129,12/07/2017 22:45:00,-0.686232907,16.725
130,12/07/2017 23:00:00,-0.686601634,16.677
131,12/07/2017 23:15:00,-0.687805559,16.63
132,12/07/2017 23:30:00,-0.688591381,16.582
133,12/07/2017 23:45:00,-0.688960107,16.534
134,13/07/2017 00:00:00,-0.690587966,16.487
135,13/07/2017 00:15:00,-0.691373787,16.439
136,13/07/2017 00:30:00,-0.694269271,16.415
137,13/07/2017 00:45:00,-0.695031916,16.344
138,13/07/2017 01:00:00,-0.695817738,16.296
139,13/07/2017 01:15:00,-0.696604568,16.249
140,13/07/2017 01:30:00,-0.697807485,16.201
141,13/07/2017 01:45:00,-0.698600144,16.153
142,13/07/2017 02:00:00,-0.699386974,16.106
143,13/07/2017 02:15:00,-0.699755701,16.058
144,13/07/2017 02:30:00,-0.700541523,16.01
145,13/07/2017 02:45:00,-0.700911257,15.963
146,13/07/2017 03:00:00,-0.702114174,15.915
147,13/07/2017 03:15:00,-0.70292418,15.891
148,13/07/2017 03:30:00,-0.704127098,15.843
149,13/07/2017 03:45:00,-0.704913927,15.796
150,13/07/2017 04:00:00,-0.706123682,15.748
151,13/07/2017 04:15:00,-0.706933689,15.724
152,13/07/2017 04:30:00,-0.708136606,15.676
153,13/07/2017 04:45:00,-0.708923436,15.629
154,13/07/2017 05:00:00,-0.709733442,15.605
155,13/07/2017 05:15:00,-0.710543449,15.581
156,13/07/2017 05:30:00,-0.71132927,15.533
157,13/07/2017 05:45:00,-0.712556372,15.509
158,13/07/2017 06:00:00,-0.713366379,15.485
159,13/07/2017 06:15:00,-0.714183223,15.461
160,13/07/2017 06:30:00,-0.715411332,15.438
161,13/07/2017 06:45:00,-0.717055529,15.414
162,13/07/2017 07:00:00,-0.71788972,15.414
163,13/07/2017 07:15:00,-0.718699727,15.39
164,13/07/2017 07:30:00,-0.719533917,15.39
165,13/07/2017 07:45:00,-0.720785204,15.39
166,13/07/2017 08:00:00,-0.721619394,15.39
167,13/07/2017 08:15:00,-0.724962995,15.39
168,13/07/2017 08:30:00,-0.725821371,15.414
169,13/07/2017 08:45:00,-0.726655562,15.414
170,13/07/2017 09:00:00,-0.727513937,15.438
171,13/07/2017 09:15:00,-0.7287884,15.461
172,13/07/2017 09:30:00,-0.730063871,15.485
173,13/07/2017 09:45:00,-0.730529335,15.533
174,13/07/2017 10:00:00,-0.730977452,15.557
175,13/07/2017 10:15:00,-0.731860012,15.605
176,13/07/2017 10:30:00,-0.73315866,15.652
177,13/07/2017 10:45:00,-0.734041219,15.7
178,13/07/2017 11:00:00,-0.734530868,15.772
179,13/07/2017 11:15:00,-0.735019509,15.843
180,13/07/2017 11:30:00,-0.735509158,15.915
181,13/07/2017 11:45:00,-0.735974622,15.963
182,13/07/2017 12:00:00,-0.736439079,16.01
183,13/07/2017 12:15:00,-0.736904543,16.058
184,13/07/2017 12:30:00,-0.737762919,16.082
185,13/07/2017 12:45:00,-0.738227375,16.129
186,13/07/2017 13:00:00,-0.738644471,16.129
187,13/07/2017 13:15:00,-0.73908575,16.153
188,13/07/2017 13:30:00,-0.73952703,16.177
189,13/07/2017 13:45:00,-0.739975148,16.201
190,13/07/2017 14:00:00,-0.740392243,16.201
191,13/07/2017 14:15:00,-0.740833523,16.225
192,13/07/2017 14:30:00,-0.740833523,16.225
193,13/07/2017 14:45:00,-0.741250619,16.225
194,13/07/2017 15:00:00,-0.742108994,16.249
195,13/07/2017 15:15:00,-0.742132171,16.272
196,13/07/2017 15:30:00,-0.742549266,16.272
197,13/07/2017 15:45:00,-0.742990546,16.296
198,13/07/2017 16:00:00,-0.74345601,16.344
199,13/07/2017 16:15:00,-0.743480195,16.368
200,13/07/2017 16:30:00,-0.74433857,16.392
201,13/07/2017 16:45:00,-0.744361747,16.415
202,13/07/2017 17:00:00,-0.749397914,16.439
203,13/07/2017 17:15:00,-0.749839194,16.463
204,13/07/2017 17:30:00,-0.750304658,16.511
205,13/07/2017 17:45:00,-0.75074493,16.534
206,13/07/2017 18:00:00,-0.75074493,16.534
207,13/07/2017 18:15:00,-0.751162026,16.534
208,13/07/2017 18:30:00,-0.751603305,16.558
209,13/07/2017 18:45:00,-0.752020401,16.558
210,13/07/2017 19:00:00,-0.752020401,16.558
211,13/07/2017 19:15:00,-0.752437496,16.558
212,13/07/2017 19:30:00,-0.752854592,16.558
213,13/07/2017 19:45:00,-0.753271687,16.558
214,13/07/2017 20:00:00,-0.753271687,16.558
215,13/07/2017 20:15:00,-0.753664598,16.534
216,13/07/2017 20:30:00,-0.753664598,16.534
217,13/07/2017 20:45:00,-0.754081694,16.534
218,13/07/2017 21:00:00,-0.754498789,16.534
219,13/07/2017 21:15:00,-0.754498789,16.534
220,13/07/2017 21:30:00,-0.754892708,16.511
221,13/07/2017 21:45:00,-0.755285619,16.487
222,13/07/2017 22:00:00,-0.755702714,16.487
223,13/07/2017 22:15:00,-0.755678529,16.463
224,13/07/2017 22:30:00,-0.756095625,16.463
225,13/07/2017 22:45:00,-0.756095625,16.463
226,13/07/2017 23:00:00,-0.756488536,16.439
227,13/07/2017 23:15:00,-0.756488536,16.439
228,13/07/2017 23:30:00,-0.756888284,16.415
229,13/07/2017 23:45:00,-0.75730538,16.415
230,14/07/2017 00:00:00,-0.75730538,16.415
231,14/07/2017 00:15:00,-0.757722475,16.415
232,14/07/2017 00:30:00,-0.758116394,16.392
233,14/07/2017 00:45:00,-0.758116394,16.392
234,14/07/2017 01:00:00,-0.758533489,16.392
235,14/07/2017 01:15:00,-0.7589264,16.368
236,14/07/2017 01:30:00,-0.758902216,16.344
237,14/07/2017 01:45:00,-0.759295127,16.32
238,14/07/2017 02:00:00,-0.759270942,16.296
239,14/07/2017 02:15:00,-0.759663853,16.272
240,14/07/2017 02:30:00,-0.759616492,16.225
241,14/07/2017 02:45:00,-0.760009403,16.201
242,14/07/2017 03:00:00,-0.759961034,16.153
243,14/07/2017 03:15:00,-0.760353945,16.129
244,14/07/2017 03:30:00,-0.760723679,16.082
245,14/07/2017 03:45:00,-0.761092406,16.034
246,14/07/2017 04:00:00,-0.761044037,15.986
247,14/07/2017 04:15:00,-0.761413771,15.939
248,14/07/2017 04:30:00,-0.761806682,15.915
249,14/07/2017 04:45:00,-0.761734129,15.843
250,14/07/2017 05:00:00,-0.762103863,15.796
251,14/07/2017 05:15:00,-0.762055494,15.748
252,14/07/2017 05:30:00,-0.762400036,15.676
253,14/07/2017 05:45:00,-0.762375852,15.652
254,14/07/2017 06:00:00,-0.762721401,15.581
255,14/07/2017 06:15:00,-0.763114312,15.557
256,14/07/2017 06:30:00,-0.763090128,15.533
257,14/07/2017 06:45:00,-0.763458854,15.485
258,14/07/2017 07:00:00,-0.763411493,15.438
259,14/07/2017 07:15:00,-0.763828589,15.438
260,14/07/2017 07:30:00,-0.763804404,15.414
261,14/07/2017 07:45:00,-0.764204153,15.39
262,14/07/2017 08:00:00,-0.764204153,15.39
263,14/07/2017 08:15:00,-0.764204153,15.39
264,14/07/2017 08:30:00,-0.764179968,15.366
265,14/07/2017 08:45:00,-0.765431255,15.366
266,14/07/2017 09:00:00,-0.765431255,15.366
267,14/07/2017 09:15:00,-0.765872534,15.39
268,14/07/2017 09:30:00,-0.765872534,15.39
269,14/07/2017 09:45:00,-0.765896719,15.414
270,14/07/2017 10:00:00,-0.765920903,15.438
271,14/07/2017 10:15:00,-0.76594408,15.461
