n,dates,pressure_differential_m,temperature_stream_C
100,15/04/2022 14:30:00,-0.190904777420744,14.247
101,15/04/2022 14:45:00,-0.216013932707455,14.198
102,15/04/2022 15:00:00,-0.198073164024679,14.119
103,15/04/2022 15:15:00,-0.198489009656399,14.051
104,15/04/2022 15:30:00,-0.202984102913563,14.032
105,15/04/2022 15:45:00,-0.205667297346803,14.021
106,15/04/2022 16:00:00,-0.203479157237039,13.997
107,15/04/2022 16:15:00,-0.22319222039786,13.961
108,15/04/2022 16:30:00,-0.187538408021106,13.867
109,15/04/2022 16:45:00,-0.168013465503207,13.772
110,15/04/2022 17:00:00,-0.176171960754094,13.702
111,15/04/2022 17:15:00,-0.16045893652696,13.629
112,15/04/2022 17:30:00,-0.162231231005005,13.562
113,15/04/2022 17:45:00,-0.182815589775144,13.49
114,15/04/2022 18:00:00,-0.162993614663158,13.404
115,15/04/2022 18:15:00,-0.167449103574444,13.306
116,15/04/2022 18:30:00,-0.171904592485729,13.23
117,15/04/2022 18:45:00,-0.156191568258596,13.195
118,15/04/2022 19:00:00,-0.159706453955276,13.213
119,15/04/2022 19:15:00,-0.206429681004957,13.288
120,15/04/2022 19:30:00,-0.17042933060177,13.419
121,15/04/2022 19:45:00,-0.189350306845029,13.559
122,15/04/2022 20:00:00,-0.193657279459272,13.708
123,15/04/2022 20:15:00,-0.208241579828879,13.823
124,15/04/2022 20:30:00,-0.180171999687781,13.934
125,15/04/2022 20:45:00,-0.203706882225838,14.02
126,15/04/2022 21:00:00,-0.189280999239742,14.105
127,15/04/2022 21:15:00,-0.196380078238391,14.188
128,15/04/2022 21:30:00,-0.204766298478077,14.259
129,15/04/2022 21:45:00,-0.216429778339175,14.331
130,15/04/2022 22:00:00,-0.21405351758649,14.412
131,15/04/2022 22:15:00,-0.238835937019706,14.49
132,15/04/2022 22:30:00,-0.225122932259417,14.568
133,15/04/2022 22:45:00,-0.217419886986128,14.623
134,15/04/2022 23:00:00,-0.238301278350352,14.664
135,15/04/2022 23:15:00,-0.209518819983448,14.696
136,15/04/2022 23:30:00,-0.203815794177003,14.719
137,15/04/2022 23:45:00,-0.195736507617872,14.735
138,16/04/2022 00:00:00,-0.239360694602591,14.758
139,16/04/2022 00:15:00,-0.228598213610219,14.783
140,16/04/2022 00:30:00,-0.220291202062289,14.806
141,16/04/2022 00:45:00,-0.2105089286304,14.831
142,16/04/2022 01:00:00,-0.217835732617847,14.851
143,16/04/2022 01:15:00,-0.227915038643822,14.871
144,16/04/2022 01:30:00,-0.24042011085483,14.877
145,16/04/2022 01:45:00,-0.242420130321674,14.885
146,16/04/2022 02:00:00,-0.227350676715059,14.888
147,16/04/2022 02:15:00,-0.212578255702531,14.883
148,16/04/2022 02:30:00,-0.230895265671149,14.883
149,16/04/2022 02:45:00,-0.253746973242808,14.876
150,16/04/2022 03:00:00,-0.228449697313176,14.87
151,16/04/2022 03:15:00,-0.214548571909966,14.865
152,16/04/2022 03:30:00,-0.267162945409012,14.856
153,16/04/2022 03:45:00,-0.211370323153249,14.846
154,16/04/2022 04:00:00,-0.207449492911318,14.834
155,16/04/2022 04:15:00,-0.238004245756266,14.822
156,16/04/2022 04:30:00,-0.219944664035856,14.803
157,16/04/2022 04:45:00,-0.196112748903714,14.779
158,16/04/2022 05:00:00,-0.207974250494202,14.755
159,16/04/2022 05:15:00,-0.227915038643822,14.732
160,16/04/2022 05:30:00,-0.21590502075629,14.707
161,16/04/2022 05:45:00,-0.190449327443146,14.679
162,16/04/2022 06:00:00,-0.232865581878584,14.644
163,16/04/2022 06:15:00,-0.200112787837401,14.61
164,16/04/2022 06:30:00,-0.190904777420744,14.569
165,16/04/2022 06:45:00,-0.244004304156797,14.53
166,16/04/2022 07:00:00,-0.193508763162229,14.493
167,16/04/2022 07:15:00,-0.192221621921191,14.457
168,16/04/2022 07:30:00,-0.201291017127274,14.43
169,16/04/2022 07:45:00,-0.20967723736696,14.415
170,16/04/2022 08:00:00,-0.18912258185623,14.406
171,16/04/2022 08:15:00,-0.222063496540334,14.402
172,16/04/2022 08:30:00,-0.233806185093188,14.414
173,16/04/2022 08:45:00,-0.187578012366984,14.447
174,16/04/2022 09:00:00,-0.235093326334226,14.498
175,16/04/2022 09:15:00,-0.209221787389362,14.563
176,16/04/2022 09:30:00,-0.205974231027359,14.628
177,16/04/2022 09:45:00,-0.212132706811402,14.713
178,16/04/2022 10:00:00,-0.246004323623641,14.792
179,16/04/2022 10:15:00,-0.215528779470449,14.867
180,16/04/2022 10:30:00,-0.226251656116942,14.955
181,16/04/2022 10:45:00,-0.232222011258065,15.054
182,16/04/2022 11:00:00,-0.223459549732537,15.145
183,16/04/2022 11:15:00,-0.217449590245536,15.228
184,16/04/2022 11:30:00,-0.220023872727612,15.309
185,16/04/2022 11:45:00,-0.245588477991921,15.376
186,16/04/2022 12:00:00,-0.233132911213261,15.424
187,16/04/2022 12:15:00,-0.230786353719984,15.484
188,16/04/2022 12:30:00,-0.262964884745934,15.496
189,16/04/2022 12:45:00,-0.233053702521505,15.528
190,16/04/2022 13:00:00,-0.222400133480298,15.546
191,16/04/2022 13:15:00,-0.219192181464172,15.557
192,16/04/2022 13:30:00,-0.25828167084585,15.558
193,16/04/2022 13:45:00,-0.214429758872332,15.563
194,16/04/2022 14:00:00,-0.232410131900986,15.578
195,16/04/2022 14:15:00,-0.241063681475349,15.597
196,16/04/2022 14:30:00,-0.253143006968167,15.605
197,16/04/2022 14:45:00,-0.215409966432814,15.6
198,16/04/2022 15:00:00,-0.223726879067214,15.587
199,16/04/2022 15:15:00,-0.234756689394263,15.56
200,16/04/2022 15:30:00,-0.219984268381734,15.52
201,16/04/2022 15:45:00,-0.211598048142048,15.487
202,16/04/2022 16:00:00,-0.21798424891489,15.457
203,16/04/2022 16:15:00,-0.203211827902362,15.414
204,16/04/2022 16:30:00,-0.20759800920836,15.346
205,16/04/2022 16:45:00,-0.207558404862482,15.231
206,16/04/2022 17:00:00,-0.181756173522905,15.081
207,16/04/2022 17:15:00,-0.179003671484377,14.963
208,16/04/2022 17:30:00,-0.175795719468252,14.915
209,16/04/2022 17:45:00,-0.209221787389362,14.979
210,16/04/2022 18:00:00,-0.189766152476749,15.103
211,16/04/2022 18:15:00,-0.183766094076218,15.205
212,16/04/2022 18:30:00,-0.202875190962398,15.264
213,16/04/2022 18:45:00,-0.195964232606671,15.269
214,16/04/2022 19:00:00,-0.198944459633997,15.236
215,16/04/2022 19:15:00,-0.185310663565464,15.2
216,16/04/2022 19:30:00,-0.190300811146103,15.176
217,16/04/2022 19:45:00,-0.204835606083364,15.149
218,16/04/2022 20:00:00,-0.1828947984669,15.118
219,16/04/2022 20:15:00,-0.170657055590569,15.084
220,16/04/2022 20:30:00,-0.183498764741541,15.072
221,16/04/2022 20:45:00,-0.183082919109821,15.079
222,16/04/2022 21:00:00,-0.172132317474528,15.102
223,16/04/2022 21:15:00,-0.191766171943593,15.121
224,16/04/2022 21:30:00,-0.192637467552911,15.164
225,16/04/2022 21:45:00,-0.180023483390738,15.217
226,16/04/2022 22:00:00,-0.172053108782772,15.26
227,16/04/2022 22:15:00,-0.184370060350859,15.297
228,16/04/2022 22:30:00,-0.179795758401939,15.329
229,16/04/2022 22:45:00,-0.188330494938668,15.354
230,16/04/2022 23:00:00,-0.215221845789893,15.379
231,16/04/2022 23:15:00,-0.18372648973034,15.393
232,16/04/2022 23:30:00,-0.191429535003629,15.399
233,16/04/2022 23:45:00,-0.210122786258089,15.4
234,17/04/2022 00:00:00,-0.184746301636701,15.4
235,17/04/2022 00:15:00,-0.189092878596822,15.4
236,17/04/2022 00:30:00,-0.198756338991076,15.409
237,17/04/2022 00:45:00,-0.191657259992428,15.421
238,17/04/2022 01:00:00,-0.183835401681505,15.427
239,17/04/2022 01:15:00,-0.201736566018403,15.42
240,17/04/2022 01:30:00,-0.194716695711511,15.414
241,17/04/2022 01:45:00,-0.175072940155977,15.394
242,17/04/2022 02:00:00,-0.194409762030955,15.372
243,17/04/2022 02:15:00,-0.185914629840105,15.34
244,17/04/2022 02:30:00,-0.172013504436894,15.305
245,17/04/2022 02:45:00,-0.214281242575289,15.272
246,17/04/2022 03:00:00,-0.195924628260792,15.245
247,17/04/2022 03:15:00,-0.183231435406864,15.212
248,17/04/2022 03:30:00,-0.216013932707455,15.175
249,17/04/2022 03:45:00,-0.169221398052488,15.14
250,17/04/2022 04:00:00,-0.191805776289471,15.099
251,17/04/2022 04:15:00,-0.187241375427021,15.063
252,17/04/2022 04:30:00,-0.180706658357135,15.022
253,17/04/2022 04:45:00,-0.178399705209736,14.984
254,17/04/2022 05:00:00,-0.190300811146103,14.942
255,17/04/2022 05:15:00,-0.184934422279622,14.901
256,17/04/2022 05:30:00,-0.18414233536206,14.861
257,17/04/2022 05:45:00,-0.167597619871486,14.822
258,17/04/2022 06:00:00,-0.179043275830255,14.785
259,17/04/2022 06:15:00,-0.169072881755445,14.749
260,17/04/2022 06:30:00,-0.159330212669435,14.719
261,17/04/2022 06:45:00,-0.161557957125077,14.696
262,17/04/2022 07:00:00,-0.19037011875139,14.682
263,17/04/2022 07:15:00,-0.187954253652826,14.673
264,17/04/2022 07:30:00,-0.168914464371933,14.674
265,17/04/2022 07:45:00,-0.154300460742917,14.679
266,17/04/2022 08:00:00,-0.142438959152428,14.683
267,17/04/2022 08:15:00,-0.150033092474552,14.696
268,17/04/2022 08:30:00,-0.152340045621951,14.722
269,17/04/2022 08:45:00,-0.174815511907769,14.755
270,17/04/2022 09:00:00,-0.161330232136278,14.795
271,17/04/2022 09:15:00,-0.169488727387165,14.839
272,17/04/2022 09:30:00,-0.185122542922543,14.885
273,17/04/2022 09:45:00,-0.16004309089524,14.939
274,17/04/2022 10:00:00,-0.188261187333382,15.01
275,17/04/2022 10:15:00,-0.171409538162253,15.091
276,17/04/2022 10:30:00,-0.182974007158656,15.139
277,17/04/2022 10:45:00,-0.190746360037232,15.17
278,17/04/2022 11:00:00,-0.181419536582941,15.225
279,17/04/2022 11:15:00,-0.161330232136278,15.254
280,17/04/2022 11:30:00,-0.201518742116073,15.3
281,17/04/2022 11:45:00,-0.180063087736616,15.355
282,17/04/2022 12:00:00,-0.200647446506755,15.421
283,17/04/2022 12:15:00,-0.186706716757666,15.511
284,17/04/2022 12:30:00,-0.187845341701662,15.581
285,17/04/2022 12:45:00,-0.174053128249616,15.628
286,17/04/2022 13:00:00,-0.184102731016182,15.651
287,17/04/2022 13:15:00,-0.192409742564112,15.667
288,17/04/2022 13:30:00,-0.197964252073514,15.678
289,17/04/2022 13:45:00,-0.17250855876037,15.691
290,17/04/2022 14:00:00,-0.175528390133575,15.682
291,17/04/2022 14:15:00,-0.206954438587842,15.64
292,17/04/2022 14:30:00,-0.187350287378185,15.611
293,17/04/2022 14:45:00,-0.182706677823979,15.596
294,17/04/2022 15:00:00,-0.176855135720491,15.572
295,17/04/2022 15:15:00,-0.183538369087419,15.542
296,17/04/2022 15:30:00,-0.162647076636725,15.515
297,17/04/2022 15:45:00,-0.171785779448095,15.485
298,17/04/2022 16:00:00,-0.149924180523388,15.424
299,17/04/2022 16:15:00,-0.157290588856713,15.373
300,17/04/2022 16:30:00,-0.169033277409568,15.354
301,17/04/2022 16:45:00,-0.170201605612971,15.336
302,17/04/2022 17:00:00,-0.149538038151076,15.299
303,17/04/2022 17:15:00,-0.161102507147479,15.203
304,17/04/2022 17:30:00,-0.141498355937823,15.076
305,17/04/2022 17:45:00,-0.158914367037715,14.955
306,17/04/2022 18:00:00,-0.138330008267576,14.821
307,17/04/2022 18:15:00,-0.141646872234866,14.717
308,17/04/2022 18:30:00,-0.126577418628252,14.629
309,17/04/2022 18:45:00,-0.116607024553442,14.565
310,17/04/2022 19:00:00,-0.125329881733092,14.518
311,17/04/2022 19:15:00,-0.127824955523412,14.472
312,17/04/2022 19:30:00,-0.133003223746972,14.415
313,17/04/2022 19:45:00,-0.107537629347359,14.355
314,17/04/2022 20:00:00,-0.139795369065065,14.289
315,17/04/2022 20:15:00,-0.119587251580768,14.231
316,17/04/2022 20:30:00,-0.120498151535965,14.189
317,17/04/2022 20:45:00,-0.120993205859441,14.174
318,17/04/2022 21:00:00,-0.138102283278777,14.185
319,17/04/2022 21:15:00,-0.133339860686936,14.216
320,17/04/2022 21:30:00,-0.154904427017558,14.252
321,17/04/2022 21:45:00,-0.131072511885415,14.286
322,17/04/2022 22:00:00,-0.140369632080298,14.327
323,17/04/2022 22:15:00,-0.127518021842857,14.372
324,17/04/2022 22:30:00,-0.141458751591945,14.421
325,17/04/2022 22:45:00,-0.142785497178861,14.475
326,17/04/2022 23:00:00,-0.139686457113901,14.538
327,17/04/2022 23:15:00,-0.15298361624247,14.599
328,17/04/2022 23:30:00,-0.150260817463351,14.671
329,17/04/2022 23:45:00,-0.180478933368336,14.728
330,18/04/2022 00:00:00,-0.144102341679308,14.777
331,18/04/2022 00:15:00,-0.161557957125077,14.81
332,18/04/2022 00:30:00,-0.141646872234866,14.84
333,18/04/2022 00:45:00,-0.14342906779938,14.862
334,18/04/2022 01:00:00,-0.173488766320853,14.87
335,18/04/2022 01:15:00,-0.153359857528312,14.877
336,18/04/2022 01:30:00,-0.151924199990231,14.874
337,18/04/2022 01:45:00,-0.163142130960201,14.868
338,18/04/2022 02:00:00,-0.180330417071293,14.851
339,18/04/2022 02:15:00,-0.172617470711535,14.833
340,18/04/2022 02:30:00,-0.148745951233514,14.812
341,18/04/2022 02:45:00,-0.153052923847757,14.774
342,18/04/2022 03:00:00,-0.141419147246067,14.738
343,18/04/2022 03:15:00,-0.158498521405995,14.707
344,18/04/2022 03:30:00,-0.156567809544438,14.677
345,18/04/2022 03:45:00,-0.135042847559694,14.653
346,18/04/2022 04:00:00,-0.142934013475904,14.629
347,18/04/2022 04:15:00,-0.141161718997859,14.601
348,18/04/2022 04:30:00,-0.167676828563243,14.575
349,18/04/2022 04:45:00,-0.146825140458427,14.548
350,18/04/2022 05:00:00,-0.143726100393466,14.524
351,18/04/2022 05:15:00,-0.159518333312356,14.505
352,18/04/2022 05:30:00,-0.14946873054579,14.492
353,18/04/2022 05:45:00,-0.13492403452206,14.481
354,18/04/2022 06:00:00,-0.143835012344631,14.469
355,18/04/2022 06:15:00,-0.126765539271173,14.46
356,18/04/2022 06:30:00,-0.1378349539441,14.453
357,18/04/2022 06:45:00,-0.123973432886767,14.447
358,18/04/2022 07:00:00,-0.154340065088795,14.445
359,18/04/2022 07:15:00,-0.14342906779938,14.447
360,18/04/2022 07:30:00,-0.152597473870159,14.45
361,18/04/2022 07:45:00,-0.165290666724088,14.45
362,18/04/2022 08:00:00,-0.144033034074021,14.444
363,18/04/2022 08:15:00,-0.127181384902893,14.436
364,18/04/2022 08:30:00,-0.145844932897944,14.421
365,18/04/2022 08:45:00,-0.138330008267576,14.409
366,18/04/2022 09:00:00,-0.158458917060117,14.396
367,18/04/2022 09:15:00,-0.141498355937823,14.384
368,18/04/2022 09:30:00,-0.137498317004136,14.366
369,18/04/2022 09:45:00,-0.135716121439622,14.364
370,18/04/2022 10:00:00,-0.133419069378692,14.373
371,18/04/2022 10:15:00,-0.143042925427069,14.393
372,18/04/2022 10:30:00,-0.135676517093744,14.435
373,18/04/2022 10:45:00,-0.127409109891692,14.462
374,18/04/2022 11:00:00,-0.159290608323557,14.498
375,18/04/2022 11:15:00,-0.159171795285922,14.521
376,18/04/2022 11:30:00,-0.159815365906441,14.596
377,18/04/2022 11:45:00,-0.146934052409592,14.671
378,18/04/2022 12:00:00,-0.135230968202615,14.747
379,18/04/2022 12:15:00,-0.143349859107624,14.773
380,18/04/2022 12:30:00,-0.162993614663158,14.834
381,18/04/2022 12:45:00,-0.150528146798028,14.892
382,18/04/2022 13:00:00,-0.158607433357159,14.891
383,18/04/2022 13:15:00,-0.169825364327129,14.868
384,18/04/2022 13:30:00,-0.145082549239791,14.876
385,18/04/2022 13:45:00,-0.155052943314601,14.853
386,18/04/2022 14:00:00,-0.145468691612102,14.812
387,18/04/2022 14:15:00,-0.154112340099996,14.77
388,18/04/2022 14:30:00,-0.15796386273664,14.731
389,18/04/2022 14:45:00,-0.151617266309676,14.705
390,18/04/2022 15:00:00,-0.154260856397039,14.674
391,18/04/2022 15:15:00,-0.13450818889034,14.623
392,18/04/2022 15:30:00,-0.148112281699465,14.584
393,18/04/2022 15:45:00,-0.155359876995156,14.551
394,18/04/2022 16:00:00,-0.12744871423757,14.46
395,18/04/2022 16:15:00,-0.164122338520684,14.361
396,18/04/2022 16:30:00,-0.127181384902893,14.306
397,18/04/2022 16:45:00,-0.128656646786852,14.234
398,18/04/2022 17:00:00,-0.113022831251475,14.132
399,18/04/2022 17:15:00,-0.103389074116628,14.039
400,18/04/2022 17:30:00,-0.118151594042688,13.96
401,18/04/2022 17:45:00,-0.109131704268952,13.876
402,18/04/2022 18:00:00,-0.133379465032814,13.804
403,18/04/2022 18:15:00,-0.120498151535965,13.739
404,18/04/2022 18:30:00,-0.134280463901541,13.666
405,18/04/2022 18:45:00,-0.10750792608795,13.583
406,18/04/2022 19:00:00,-0.0894879487134177,13.518
407,18/04/2022 19:15:00,-0.101200934006864,13.469
408,18/04/2022 19:30:00,-0.108715858637232,13.436
409,18/04/2022 19:45:00,-0.0975375320131401,13.427
410,18/04/2022 20:00:00,-0.096022665783303,13.437
411,18/04/2022 20:15:00,-0.099161310194142,13.461
412,18/04/2022 20:30:00,-0.124428882864365,13.49
413,18/04/2022 20:45:00,-0.114042643157835,13.526
414,18/04/2022 21:00:00,-0.110864394401118,13.551
415,18/04/2022 21:15:00,-0.125032849139006,13.572
416,18/04/2022 21:30:00,-0.127518021842857,13.602
417,18/04/2022 21:45:00,-0.104557402320032,13.632
418,18/04/2022 22:00:00,-0.104478193628276,13.658
419,18/04/2022 22:15:00,-0.119626855926646,13.681
420,18/04/2022 22:30:00,-0.108973286885439,13.7
421,18/04/2022 22:45:00,-0.109359429257751,13.714
422,18/04/2022 23:00:00,-0.1203892395848,13.729
423,18/04/2022 23:15:00,-0.125072453484884,13.741
424,18/04/2022 23:30:00,-0.106933663072718,13.754
425,18/04/2022 23:45:00,-0.127745746831656,13.759
426,19/04/2022 00:00:00,-0.111735690010436,13.762
427,19/04/2022 00:15:00,-0.101646482897992,13.76
428,19/04/2022 00:30:00,-0.130201216276097,13.759
429,19/04/2022 00:45:00,-0.108597045599597,13.751
430,19/04/2022 01:00:00,-0.138023074587021,13.753
